row_id,standard,title,repository,status,error,source_page_url,timestamp
1,W.01,View of the Palace and Gardens of Versailles,Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",https://www.rijksmuseum.nl/en/search?q=Versailles+palace,2026-08-02T20:00:16.101088Z
2,W.01,Portrait of Peter the Great of Russia,Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",https://www.rijksmuseum.nl/en/search?q=Peter+the+Great+tsar,2026-08-02T20:00:16.108497Z
6,W.03,Two Treatises of Government,HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",https://catalog.hathitrust.org/Search/Home?lookfor=Locke+Two+Treatises+of+Government&type=all,2026-08-02T20:00:16.247557Z
7,W.03,Leviathan (frontispiece and text),HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",https://catalog.hathitrust.org/Search/Home?lookfor=Hobbes+Leviathan+1651&type=all,2026-08-02T20:00:16.248784Z
8,W.03,The Social Contract / The Spirit of the Laws,HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",https://catalog.hathitrust.org/Search/Home?lookfor=Rousseau+Social+Contract+Montesquieu+Spirit+of+Laws&type=all,2026-08-02T20:00:16.250321Z
9,W.04,The Execution of King Charles I (1649),Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",https://www.rijksmuseum.nl/en/search?q=execution+Charles+I+1649,2026-08-02T20:00:16.251596Z
13,W.05,What Is the Third Estate?,HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",https://catalog.hathitrust.org/Search/Home?lookfor=Sieyes+What+is+the+Third+Estate&type=all,2026-08-02T20:00:16.629413Z
14,W.06,"The Storming of the Bastille, 14 July 1789",Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",https://www.rijksmuseum.nl/en/search?q=storming+Bastille+1789,2026-08-02T20:00:16.630697Z
15,W.06,"The Execution of Louis XVI, January 1793",Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",https://www.rijksmuseum.nl/en/search?q=execution+Louis+XVI+1793,2026-08-02T20:00:16.632241Z
0,W.01,"Portrait of Louis XIV (""the Sun King"")",The Metropolitan Museum of Art,BROKEN_LINK,"No Met object matched required title tokens ['king', 'louis', 'sun', 'xiv'] AND creator tokens ['hyacinthe', 'rigaud'] for query 'Louis XIV Rigaud' within first 25 probed candidates (out of 886 total search hits).",https://www.metmuseum.org/search-results?q=Louis+XIV+Rigaud,2026-08-02T20:00:23.256831Z
