Unit / Cluster,Standard,Standard Text,Chart Title,Chart Type,What the Chart Shows,Data Source,Data Source URL,Data Rights,Commercial OK?,Citation,Schedule F (SSP),Build Note,Guardrail Check
"Foundations of Human Civilization: c. 10,000-3500 BCE",6.01,"Identify the meaning of time designations and abbreviations used by historians, including: BC / BCE; AD / CE; Circa (c. or ca), decades, centuries",When Did They Rise and Fall? A Comparative Timeline of the Ancient Civilizations,timeline,"Horizontal timeline with one bar per civilization (Mesopotamia, Egypt, Israel, India, China, Greece, Rome) spanning its BCE/CE date range, so students can compare which overlapped and which came first.",TDOE Grade 6 standards cluster date ranges (Mesopotamia c. 3500-1700 BCE; Egypt c. 3000-700 BCE; Israel c. 2000-500 BCE; India c. 2500-400 BCE; China c. 2500 BCE-200 CE; Greece c. 800-300 BCE; Rome c. 500 BCE-500 CE),https://www.tn.gov/education/educators/academic-standards.html,Public domain - U.S. government,Yes,"Tennessee Department of Education, Grade 6 World History and Geography academic standards (public domain).",SSP.01; SSP.05,"A single timeline is the clearest way to teach BC/BCE, AD/CE, circa, and century thinking because students must place and read real spans on one scale (and see e.g. Egypt and Mesopotamia overlap, Rome outlasts Greece). The 'data' are the seven cluster date ranges printed in the TDOE standards document itself, so no dates are invented. Build as a Gantt-style timeline: x-axis = years from ~3500 BCE to ~500 CE with a clear 0/1 CE boundary, one labeled bar per civilization.",OK
"Foundations of Human Civilization: c. 10,000-3500 BCE",6.03,"Explain the impact of the Agricultural Revolution, including: Barter economy; Domestication of plants and animals; Emergence of permanent settlements; Food surpluses; Labor specialization; New sources of clothing and shelter","Farming Changed Everything: World Population Over the Last 12,000 Years",line,"Line chart of estimated world population from 10,000 BCE onward, nearly flat during hunter-gatherer times and rising after the Agricultural Revolution as food surpluses appear.",Our World in Data - Population (long-run series),https://ourworldindata.org/grapher/population,CC BY - Our World in Data,Yes,"HYDE (2023); Gapminder (2022); UN (2022) - with major processing by Our World in Data, 'Population.' CC BY.",SSP.01; SSP.04; SSP.05,"The core idea of 6.03 is that farming (food surpluses, permanent settlements) let population grow. A long-run population line makes the flat pre-farming baseline and the post-Neolithic climb visible in one image. Set the OWID grapher time-slider to start at 10,000 BCE; a log or dual view helps show the early low numbers. Directly demonstrates cause (agriculture) and effect (population growth).",OK
Ancient Mesopotamia: c. 3500-1700 BCE,6.06,Explain how geographic and climatic features led to the region being known as the Fertile Crescent.,Why They Needed the Rivers: Climate of the Fertile Crescent (Baghdad),bar,"Climograph of Baghdad: bars of very low monthly rainfall (near zero in summer) with a temperature line peaking above 40C, showing an arid environment that required river irrigation to farm.","NOAA NCEI monthly climate normals for Baghdad, Iraq (mean monthly precipitation and temperature)",https://www.ncei.noaa.gov/access/monitoring/wmo/,Public domain - U.S. government,Yes,"NOAA National Centers for Environmental Information, WMO/GHCN climate normals for Baghdad (public domain).",SSP.01; SSP.06,"6.06 asks why the land between the Tigris and Euphrates was the 'Fertile Crescent.' A climograph showing how little rain falls makes clear that fertility came from river silt and irrigation, not rainfall. Build as a classic climograph: monthly precipitation bars + temperature line, one Mesopotamian station (Baghdad).",OK
Ancient Egypt: c. 3000-700 BCE,6.14,"Explain how agricultural practices impacted life and economic growth in ancient Egypt, including the use of irrigation and development of a calendar.",The Gift of the Nile: The River's Annual Flood Cycle,line,"Line chart of mean monthly Nile River flow across the year, low in spring and surging to a peak in August-September, illustrating the predictable annual flood that deposited silt and set the farming calendar.","Willcocks, 'Egyptian Irrigation' (mean monthly Nile discharge / gauge readings tables)",https://archive.org/search?query=Willcocks+Egyptian+Irrigation,pre-1929,Yes,"W. Willcocks, Egyptian Irrigation (London/New York: Spon, 1899), Nile discharge tables (public domain, pre-1929). Corroborated by O. Toussoun, Memoire sur l'histoire du Nil (1925).",SSP.01; SSP.06,"6.14 links Egypt's agriculture and calendar to the Nile. A monthly-flow line shows the single most important fact: a predictable summer flood that deposited fertile silt and organized the Egyptian year (flood / planting / harvest). Data come from pre-1929 hydrological survey tables (Willcocks 1899; Toussoun 1925), so nothing is fabricated. Plot mean discharge (or gauge height) by month, Jan-Dec.",OK
Ancient Egypt: c. 3000-700 BCE,6.18,"Analyze the achievements of ancient Egyptian civilization, including: hieroglyphics, papyrus, and the pyramids and Sphinx at Giza.",How Tall Were the Pyramids of Giza? Comparing the Three Great Pyramids,bar,"Bar chart comparing the original heights of the three main Giza pyramids (Khufu ~146 m, Khafre ~143 m, Menkaure ~65 m), with a small human/modern-building reference bar for scale.","Petrie, 'The Pyramids and Temples of Gizeh' (measured original heights and base lengths of Khufu, Khafre, Menkaure)",https://archive.org/details/pyramidstempleso00petruoft,pre-1929,Yes,"W. M. Flinders Petrie, The Pyramids and Temples of Gizeh (London: Field & Tuer, 1883), survey measurements (public domain).",SSP.01,"6.18 highlights the pyramids and Sphinx as achievements. A bar chart of measured heights turns 'huge' into a concrete, comparable number and lets students add a modern reference bar for scale. Uses Petrie's precise 1883 survey (public domain) rather than invented figures. Optionally add base-length as a second series.",OK
Ancient India: c. 2500-400 BCE,6.25,"Identify and locate geographical features of ancient India, including: Ganges River; Indus River; Himalayan Mountains; Monsoon winds; Indian Ocean; Subcontinent of India",Life on the Monsoon: Mumbai's Rainfall Concentrated in Four Months,bar,"Bar chart of mean monthly rainfall for Mumbai showing almost all precipitation falling June-September, illustrating the summer monsoon that shaped agriculture in ancient India.","NOAA NCEI monthly climate normals for Mumbai, India (mean monthly precipitation)",https://www.ncei.noaa.gov/access/monitoring/wmo/,Public domain - U.S. government,Yes,"NOAA National Centers for Environmental Information, WMO/GHCN climate normals for Mumbai (public domain).",SSP.01; SSP.06,"6.25 explicitly lists 'monsoon winds' as a geographic feature of ancient India. A monthly-rainfall bar chart shows why: rain is jammed into a few summer months, so the whole farming year (and the risk of flood or drought) turned on the monsoon. Standard climograph precipitation series for one Indian station.",OK
Ancient China: c. 2500 BCE-200 CE,6.32,"Analyze the influence of geographic features on the origins of ancient Chinese civilization in the Yellow River Valley, and explain how China's geography helped create a unique yet diverse cultural identity that was isolated from the rest of the world.",The Yellow River's World: Climate of the North China Plain (Zhengzhou),bar,"Climograph for a Yellow River city showing warm-summer, cold-winter conditions with rain concentrated in summer, the seasonal pattern that shaped early Chinese farming on the loess plain.","NOAA NCEI monthly climate normals for Zhengzhou, China (Yellow River valley; mean monthly precipitation and temperature)",https://www.ncei.noaa.gov/access/monitoring/wmo/,Public domain - U.S. government,Yes,"NOAA National Centers for Environmental Information, WMO/GHCN climate normals for Zhengzhou (public domain).",SSP.01; SSP.06,"6.32 asks how geographic features shaped the origins of Chinese civilization in the Yellow River valley. A climograph shows the strong seasonal (summer-wet, winter-cold) regime of the North China Plain that made river-fed farming on the loess soils both possible and flood-prone. One Yellow-River-valley station; precipitation bars + temperature line.",OK
Ancient China: c. 2500 BCE-200 CE,6.36,Explain how the implementation of the philosophy of Confucianism led to the political success and longevity of the Han Dynasty.,The Han Peak: China's Population Over the Long Run,line,"Line chart of China's estimated population over the long run, showing an early rise toward a peak around the Han Dynasty (c. 200 BCE-200 CE).","Our World in Data - Population, China (long-run series)",https://ourworldindata.org/grapher/population?country=~CHN,CC BY - Our World in Data,Yes,"HYDE (2023); Gapminder (2022); UN (2022) - with major processing by Our World in Data, 'Population' (China). CC BY.",SSP.01; SSP.05,6.36 credits Confucian administration for the Han Dynasty's stability and longevity. Charting China's long-run population and marking the Han period lets students see the demographic scale a well-run empire could sustain (tens of millions). Filter the OWID grapher to China and annotate the Han window.,OK
Ancient Rome: c. 500 BCE-500 CE,6.56,"Analyze the influence of Augustus Caesar, including the establishment of the Roman Empire and its political, geographic, and economic expansion during the Pax Romana.",The Roman World in Context: Population by Region Around 1 CE,bar,"Bar chart of estimated population by world region around 1 CE, letting students see how populous the Roman/Mediterranean world and Han-era Asia were during the Pax Romana.","Our World in Data - Population by region/continent, year 1 CE",https://ourworldindata.org/grapher/population?time=1,CC BY - Our World in Data,Yes,"HYDE (2023) - with major processing by Our World in Data, 'Population' (regional, 1 CE). CC BY.",SSP.01; SSP.06,6.56 covers Augustus and the Pax Romana - a period of political and economic expansion. Comparing regional populations around 1 CE gives students a sense of the scale of the Roman world (and that a comparably huge Han China existed at the same time). Set the OWID grapher time to year 1 and view by region as a bar chart.,OK
Ancient Rome: c. 500 BCE-500 CE,6.62,"Analyze the fall of the Western Roman Empire, including difficulty governing its large territory, political corruption, economic instability, and attacks by Germanic tribes, and identify the continuation of the Eastern Roman Empire as the Byzantine Empire.","After Rome Fell: Population of Europe, 1-1000 CE",line,"Line chart of Europe's estimated population from 1 CE to 1000 CE, showing stagnation and decline in the centuries surrounding the fall of the Western Roman Empire.","Our World in Data - Population, Europe (long-run series)",https://ourworldindata.org/grapher/population?country=~Europe,CC BY - Our World in Data,Yes,"HYDE (2023) - with major processing by Our World in Data, 'Population' (Europe). CC BY.",SSP.01; SSP.04; SSP.05,6.62 analyzes the fall of the Western Roman Empire and its instability. A long-run population line for Europe restricted to 1-1000 CE shows the demographic stagnation/decline that accompanied Rome's collapse - a concrete measure of 'crisis' beyond a list of causes. Filter the OWID grapher to Europe and the 1-1000 CE window.,OK
