Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
East Asia: 400-1500s CE,7.01,"Identify and locate the geographical features of East Asia, including: • China • Gobi Desert • Himalayan Mountains • Japan • Korean Peninsula • Pacific Ocean • Plateau of Tibet • Sea of Japan (East Sea) • Yangtze River • Yellow River",Yes,"Historic map of East Asia (China, Japan, Korea)",map,Unknown cartographer,c. 1600-1800,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=map+east+asia+china+japan+korea,search,"Library of Congress, Geography and Map Division, historic map of East Asia.","Antique map showing China, the Korean Peninsula, Japan, and surrounding seas of East Asia.",NO,SSP.06; SSP.01,Best fit: a historical map lets students locate the required East Asian physical features.,OK
East Asia: 400-1500s CE,7.01,"Identify and locate the geographical features of East Asia, including: • China • Gobi Desert • Himalayan Mountains • Japan • Korean Peninsula • Pacific Ocean • Plateau of Tibet • Sea of Japan (East Sea) • Yangtze River • Yellow River",Yes,Map of China and the Chinese Empire,map,Unknown cartographer,c. 1700-1850,New York Public Library Digital Collections,Public Domain,Yes,https://digitalcollections.nypl.org/search/index?keywords=map+china+east+asia,search,"NYPL Digital Collections, historical map of China and East Asia.","Old engraved map of China showing rivers, mountains, and neighboring lands.",NO,SSP.06; SSP.01,Alternate map source for locating East Asian geographic features.,OK
East Asia: 400-1500s CE,7.02,Describe how the reunification of China prior to the Tang Dynasty helped spread Buddhist beliefs.,Yes,"Seated Buddha, Tang dynasty",sculpture,Unknown,c. 618-907 CE,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Tang+dynasty+Buddha,search,"The Metropolitan Museum of Art, Tang dynasty Buddhist sculpture.",Gilded stone or bronze seated Buddha figure from Tang dynasty China.,NO,SSP.01; SSP.02,Buddhist art from a reunified China illustrates the spread of Buddhism.,OK
East Asia: 400-1500s CE,7.02,Describe how the reunification of China prior to the Tang Dynasty helped spread Buddhist beliefs.,Yes,Dunhuang Buddhist cave painting / silk banner,painting,Unknown,c. 700-900 CE,Smithsonian (National Museum of Asian Art / Freer),CC0,Yes,https://www.si.edu/search?edan_q=Dunhuang+Buddhist+painting,search,"Smithsonian National Museum of Asian Art, Dunhuang-style Buddhist painting.",Painted silk banner depicting a bodhisattva in early medieval Chinese Buddhist style.,NO,SSP.01; SSP.02,Alternate: Buddhist devotional art tied to Silk Road transmission of Buddhism into China.,OK
East Asia: 400-1500s CE,7.03,"Summarize agricultural, commercial, and technological developments during the Song Dynasties, and describe the role of Confucianism during the Song.",Yes,Song dynasty landscape handscroll,painting,Unknown (Song court painter),c. 960-1279 CE,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Song+dynasty+landscape+painting,search,"The Metropolitan Museum of Art, Song dynasty landscape painting.","Ink landscape handscroll showing mountains, rivers, and villages of Song China.",NO,SSP.01; SSP.02,"Song painting reflects prosperity, urban commerce, and Confucian scholar culture.",OK
East Asia: 400-1500s CE,7.03,"Summarize agricultural, commercial, and technological developments during the Song Dynasties, and describe the role of Confucianism during the Song.",Yes,Song dynasty celadon (Longquan) ceramic vessel,ceramic,Unknown,c. 1100-1279 CE,Cleveland Museum of Art,CC0 (Cleveland Open Access),Yes,https://www.clevelandart.org/art/collection/search?search=Song+dynasty+celadon,search,"Cleveland Museum of Art, Song dynasty celadon ceramic.",Pale green glazed porcelain bowl or vase from Song dynasty China.,NO,SSP.01; SSP.02,Alternate: Song ceramic technology illustrates commercial and technological development.,OK
East Asia: 400-1500s CE,7.04,"Examine the rise of the Mongol Empire, including the conquests of Genghis Khan.",Yes,Illustrated Mongol horseman / Jami al-Tawarikh folio,manuscript,Rashid al-Din (attributed workshop),c. 1300-1430,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Mongol+horseman+Jami+al-Tawarikh,search,"The Metropolitan Museum of Art, illustrated folio depicting Mongol warriors.",Manuscript painting of mounted Mongol warriors with bows on horseback.,NO,SSP.01; SSP.02,Depicts Mongol military power during the era of Genghis Khan's conquests.,OK
East Asia: 400-1500s CE,7.04,"Examine the rise of the Mongol Empire, including the conquests of Genghis Khan.",Yes,Mongol cavalry archer figure / horse trappings,artifact,Unknown,c. 1200-1300,Smithsonian,CC0,Yes,https://www.si.edu/search?edan_q=Mongol+empire+Genghis+Khan+horse,search,"Smithsonian, Mongol-era equestrian artifact.",Mongol horse-riding equipment or figurine associated with steppe cavalry.,NO,SSP.01; SSP.02,Alternate: material culture of Mongol mounted warfare.,OK
East Asia: 400-1500s CE,7.05,"Describe Kublai Khan's conquest of China, and explain how he was able to maintain control of the Yuan Empire.",Yes,Yuan dynasty court painting,painting,Unknown (Yuan court),c. 1279-1368,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Yuan+dynasty+Kublai+Khan,search,"The Metropolitan Museum of Art, Yuan dynasty painting.",Painting from the Yuan (Mongol) dynasty of China showing court or hunting scene.,NO,SSP.01; SSP.02,Yuan art reflects Kublai Khan's rule over a unified China.,OK
East Asia: 400-1500s CE,7.05,"Describe Kublai Khan's conquest of China, and explain how he was able to maintain control of the Yuan Empire.",Yes,Yuan dynasty blue-and-white porcelain,ceramic,Unknown (Jingdezhen kilns),c. 1300-1368,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Yuan+dynasty+blue+and+white+porcelain,search,"The Metropolitan Museum of Art, Yuan dynasty blue-and-white porcelain.",White porcelain jar painted with cobalt-blue dragons and floral motifs.,NO,SSP.01; SSP.02,Alternate: Yuan trade goods showing prosperity under Mongol rule.,OK
East Asia: 400-1500s CE,7.06,"Summarize the effects of the Mongolian empires on the Silk Roads, including the importance of Marco Polo's travels on the spread of Chinese technology and Eurasian trade.",Yes,Tang camel with musicians (Silk Road),sculpture,Unknown,c. 700-750 CE,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=camel+sancai+silk+road,search,"The Metropolitan Museum of Art, ceramic camel figure, Silk Road trade.",Glazed ceramic Bactrian camel carrying goods and musicians along a trade route.,NO,SSP.01; SSP.02,Symbol of Silk Road caravan trade linking Eurasia.,OK
East Asia: 400-1500s CE,7.06,"Summarize the effects of the Mongolian empires on the Silk Roads, including the importance of Marco Polo's travels on the spread of Chinese technology and Eurasian trade.",Yes,Portolan / Silk Road trade route map,map,Unknown cartographer,c. 1375-1500,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=silk+road+trade+route+map+asia,search,"Library of Congress, historical map of Eurasian trade routes.",Old map tracing overland trade routes across Asia connecting China to Europe.,NO,SSP.06; SSP.02,Alternate: map contextualizes Marco Polo's route and Eurasian exchange.,OK
