Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
"Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",TN.01,Describe changes in life in the Tennessee region from the late ice age through the Archaic period.,Yes,Physiographic / relief map of Tennessee (river valleys and highland zones inhabited by Paleo-Indian and Archaic peoples),map,U.S. Geological Survey,1970,U.S. Census / USGS,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=tennessee+physical+relief+usgs,search,"U.S. Geological Survey, physiographic/relief map of Tennessee. Library of Congress Geography and Map Division.","Relief map of Tennessee showing the Mississippi bottomlands, Highland Rim, Cumberland Plateau, and eastern mountains where the earliest peoples lived.",NO,SSP.06; SSP.01,"Anchors late-ice-age/Archaic life to Tennessee's physical regions; pair with river systems to discuss game, fishing, and foraging zones.",OK
"Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",TN.02,Compare and contrast features of life in the Tennessee region during the Woodland and Mississippian periods.,Yes,"Map of Mississippian and Woodland mound centers along the Tennessee, Cumberland, and Mississippi rivers",map,Bureau of American Ethnology (Smithsonian),1894,Library of Congress G&M,Public domain — published 1894,Yes,https://www.loc.gov/maps/?q=tennessee+mounds+antiquities,search,"Bureau of American Ethnology, map of mounds and antiquities of Tennessee, c. 1894. Library of Congress Geography and Map Division.","Map plotting prehistoric earthen mound sites clustered along Tennessee's major rivers, marking Woodland and Mississippian settlement.",NO,SSP.06; SSP.01,"Cyrus Thomas / BAE mound surveys map Mississippian centers (e.g., near Chattanooga, Nashville, Memphis) to show riverine agriculture and chiefdoms.",OK
"Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",TN.03,"Analyze the customs and traditions of American Indians located in the Tennessee region prior to European contact, including: Cherokee; Chickasaw; Creek; Iroquois; Shawnee",Yes,Map of the former territorial limits of the Cherokee Nation of Indians (Royce),map,"Charles C. Royce, Bureau of American Ethnology",1884,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=cherokee+nation+royce+territory,search,"Charles C. Royce, Map of the Former Territorial Limits of the Cherokee 'Nation of' Indians, Bureau of American Ethnology, 1884. Library of Congress Geography and Map Division.",Historical map showing the homelands and successive land cessions of the Cherokee across the Tennessee region.,NO,SSP.06; SSP.01,"Royce cession map is the classic PD source for Cherokee territory; overlay with Chickasaw, Creek, and Shawnee ranges.",OK
"Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",TN.03,"Analyze the customs and traditions of American Indians located in the Tennessee region prior to European contact, including: Cherokee; Chickasaw; Creek; Iroquois; Shawnee",Yes,Map of the Indian tribes of the Southeast prior to European contact,map,David Rumsey Map Collection,1899,David Rumsey,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=indian+tribes+southeast+cherokee+chickasaw,search,Map of southeastern American Indian tribal territories. David Rumsey Map Collection (CC BY).,"Regional map locating Cherokee, Chickasaw, Creek, and Shawnee peoples relative to the Tennessee region.",NO,SSP.06; SSP.01,Second option to compare tribal locations named in the standard; Iroquois shown to the north as trade/war contacts.,OK — attribute (CC BY)
"Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",TN.04,"Describe the impact of European exploration in the Tennessee region, including the significance of Christopher Columbus, Hernando de Soto, and Juan Pardo.",Yes,Map of the route of the Hernando de Soto expedition through the Southeast (1539–1543),map,U.S. De Soto Expedition Commission,1939,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=de+soto+expedition+route,search,"U.S. De Soto Expedition Commission, map of the route of the De Soto expedition, 1939. Library of Congress Geography and Map Division.",Map tracing the path of Hernando de Soto's expedition as it crossed the Tennessee region toward the Mississippi River.,NO,SSP.06; SSP.01,Federal commission map (PD) traces De Soto and can be paired with Juan Pardo's later routes to show early Spanish entradas.,OK
The Struggle for Tennessee’s Frontier (1600s-1700s),TN.05,Describe the influx of British and French settlers and fur traders in the Tennessee region and their impact on American Indian tribes.,Yes,A map of the British and French dominions in North America (Mitchell Map),map,John Mitchell,1755,Library of Congress G&M,Public domain — published 1755,Yes,https://www.loc.gov/maps/?q=mitchell+british+french+dominions+north+america,search,"John Mitchell, A Map of the British and French Dominions in North America, 1755. Library of Congress Geography and Map Division.","Mid-18th-century map showing competing British and French claims across the interior, including the Tennessee River country.",NO,SSP.06; SSP.01,The Mitchell Map illustrates British/French overlap and fur-trade geography affecting Cherokee and other tribes.,OK
The Struggle for Tennessee’s Frontier (1600s-1700s),TN.06,"Explain the contest between the British, the French, and American Indians for land in the Tennessee region prior to the French and Indian War.",Yes,A map of the most inhabited part of Virginia (Fry–Jefferson Map),map,Joshua Fry and Peter Jefferson,1751,Library of Congress G&M,Public domain — published 1751,Yes,https://www.loc.gov/maps/?q=fry+jefferson+virginia+1751,search,"Joshua Fry and Peter Jefferson, A Map of the Most Inhabited Part of Virginia, 1751. Library of Congress Geography and Map Division.",Colonial map depicting the westward frontier toward the Appalachians and the contested Tennessee/Ohio country before the French and Indian War.,NO,SSP.06; SSP.01,Shows Anglo-French-Indian contest for the trans-Appalachian frontier; alternate: Mitchell 1755.,OK
The Struggle for Tennessee’s Frontier (1600s-1700s),TN.07,"Describe the effects of migration into the Tennessee region, including the development of the Watauga and Cumberland Settlements.",Yes,Map of the Tennessee government formerly part of North Carolina (Daniel Smith),map,General Daniel Smith,1794,Library of Congress G&M,Public domain — published 1794,Yes,https://www.loc.gov/maps/?q=tennessee+government+daniel+smith+1794,search,"General Daniel Smith, A Map of the Tennessee Government Formerly Part of North Carolina, 1794. Library of Congress Geography and Map Division.","Early map of the Tennessee country showing the Watauga and Cumberland settlement areas, rivers, and roads.",NO,SSP.06; SSP.01,Smith's 1794 map is the definitive early map for Watauga/Cumberland settlement and reappears for statehood standards.,OK
The Struggle for Tennessee’s Frontier (1600s-1700s),TN.08,"Identify episodes of fighting that occurred in the Tennessee region during the American Revolution (e.g., Battle of Kings Mountain) and the effects of American victory on the area.",Yes,"Map of the Battle of Kings Mountain (October 7, 1780)",map,National Park Service,1930,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/kimo/planyourvisit/maps.htm,canonical,"National Park Service, Kings Mountain National Military Park map. nps.gov.",Battlefield map of Kings Mountain showing the Overmountain Men's assault on Loyalist positions.,NO,SSP.06; SSP.01,Kings Mountain (SC border) fought largely by Tennessee/Watauga 'Overmountain Men'; pair with an Overmountain Victory Trail route map (NPS).,OK
From Territory to Statehood (1784-1796),TN.09,Identify reasons for the foundation and failure of the independent state of Franklin in 1784.,Yes,Map of the proposed State of Franklin and the eastern Tennessee counties (1784),map,General Daniel Smith / Library of Congress,1794,Library of Congress G&M,Public domain — published 1794,Yes,https://www.loc.gov/maps/?q=state+of+franklin+east+tennessee,search,"Map of the eastern Tennessee counties comprising the failed State of Franklin, c. 1794. Library of Congress Geography and Map Division.",Map of the northeastern Tennessee counties that formed the short-lived independent State of Franklin.,NO,SSP.06; SSP.01,Few dedicated Franklin maps exist in PD; the Smith 1794 map covers the same eastern counties. Check TeVA/TSLA for a Franklin-specific plate.,OK
From Territory to Statehood (1784-1796),TN.10,"Analyze the effects of land speculation on settlement in the Territory South of the River Ohio (i.e., the Southwest Territory).",Yes,Map of the Tennassee Government / Territory South of the River Ohio,map,Mathew Carey,1795,David Rumsey,Public domain — published 1795,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=tennassee+government+territory+south+of+the+ohio,search,"Mathew Carey, The Tennassee Government (Territory South of the River Ohio), 1795. David Rumsey Map Collection.","1795 map of the Southwest Territory showing land grants, districts, and rivers open to speculation and settlement.",NO,SSP.06; SSP.01,Shows the Southwest Territory as a unit of land speculation; the Daniel Smith 1794 map is an LOC alternate.,OK
From Territory to Statehood (1784-1796),TN.11,Analyze the conflicts between early Tennessee settlers and American Indians.,Yes,Royce map of Cherokee and Chickasaw land cessions in Tennessee,map,"Charles C. Royce, Bureau of American Ethnology",1899,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=royce+indian+land+cessions+tennessee,search,"Charles C. Royce, Indian Land Cessions in the United States (Tennessee sheet), BAE 18th Annual Report, 1899. Library of Congress Geography and Map Division.",Map of Tennessee shaded and numbered by successive American Indian land cessions to the United States.,NO,SSP.06; SSP.01,"Royce cession sheet visualizes the shrinking of tribal land as settlers pushed in, keyed to specific treaties.",OK
From Territory to Statehood (1784-1796),TN.12,Describe the events and trace the process of Tennessee achieving statehood in 1796.,,"Map of the state of Tennessee at statehood, 1796 (bonus — statehood boundaries)",map,General Daniel Smith,1796,Library of Congress G&M,Public domain — published 1796,Yes,https://www.loc.gov/maps/?q=state+of+tennessee+1796+statehood,search,"General Daniel Smith, map of the State of Tennessee, c. 1796. Library of Congress Geography and Map Division.",Map showing Tennessee's boundaries and early counties as it entered the Union as the 16th state in 1796.,NO,SSP.06; SSP.01,Bonus (geo:false) — added because the task flags statehood boundaries as map-worthy; shows the 1796 state outline and grand-division geography.,OK
Tennessee’s Coming of Age (1796-1812),TN.14,"Analyze the growth of Middle Tennessee in the early 1800s in power and influence, including the relocation of the capital.",Yes,Map of the State of Tennessee (Matthew Rhea),map,Matthew Rhea,1832,Library of Congress G&M,Public domain — published 1832,Yes,https://www.loc.gov/maps/?q=matthew+rhea+tennessee+1832,search,"Matthew Rhea, Map of the State of Tennessee, 1832. Library of Congress Geography and Map Division.","Detailed 1832 map of Tennessee showing counties, roads, and towns including the growing Middle Tennessee capital region.",NO,SSP.06; SSP.01,Rhea's 1832 map is the landmark early state map; use to show Middle Tennessee's growth and Nashville's rise as capital.,OK
Tennessee’s Coming of Age (1796-1812),TN.15,"Describe the distribution of slaves between the three grand divisions of Tennessee, the lives of free blacks and slaves, and the role of Tennesseans in the early abolition movement (e.g., Elihu Embree).",Yes,Map showing the distribution of the slave population of the Southern States (1860 Census),map,U.S. Coast Survey / E. Hergesheimer,1861,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=distribution+slave+population+1860+census,search,"U.S. Coast Survey, Map Showing the Distribution of the Slave Population of the Southern States, 1861 (from the 1860 Census). Library of Congress Geography and Map Division.","Choropleth map shading each county by percentage enslaved, showing heavy concentrations in West Tennessee and lighter shading in the east.",NO,SSP.06; SSP.01,The 1861 Census slave-density map is the single best source for the three-grand-division contrast; also serves TN.26.,OK
Tennessee’s Coming of Age (1796-1812),TN.18,Describe the New Madrid Earthquakes of 1811-12 and the resulting effects on the land and culture of Tennessee.,Yes,Map of the New Madrid Seismic Zone and Reelfoot Lake region,map,U.S. Geological Survey,1990,U.S. Census / USGS,U.S. government work — public domain,Yes,https://www.usgs.gov/programs/earthquake-hazards/new-madrid-seismic-zone,canonical,"U.S. Geological Survey, New Madrid Seismic Zone map. usgs.gov.","Map of the New Madrid seismic zone along the Mississippi River, with Reelfoot Lake in Northwest Tennessee formed by the 1811-12 quakes.",NO,SSP.06; SSP.01,USGS seismic-zone map (PD) ties the 1811-12 earthquakes to the creation of Reelfoot Lake and land changes in West Tennessee.,OK
Tennessee’s Coming of Age (1796-1812),TN.19,"Describe Tennessee’s involvement in the War of 1812 (e.g., Tennessee volunteers, Felix Grundy, Andrew Jackson), and analyze the role of American Indians during the war.",Yes,Map of the Creek War and Battle of Horseshoe Bend (1814),map,National Park Service,1959,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/hobe/planyourvisit/maps.htm,canonical,"National Park Service, Horseshoe Bend National Military Park map. nps.gov.",Battle map of Horseshoe Bend showing Andrew Jackson's Tennessee volunteers defeating the Red Stick Creeks.,NO,SSP.06; SSP.01,Horseshoe Bend map shows Tennessee volunteers and Jackson in the War of 1812 / Creek War; pair with a Battle of New Orleans map (LOC).,OK
Tennessee’s Coming of Age (1796-1812),TN.20,"Describe the significance of the Mississippi River, the Jackson Purchase, and the introduction of cotton in the rapid growth of Memphis and West Tennessee.",Yes,Royce map of the Chickasaw Cession of 1818 (Jackson Purchase) and West Tennessee,map,"Charles C. Royce, Bureau of American Ethnology",1899,Library of Congress G&M,U.S. government work — public domain,Yes,https://www.loc.gov/maps/?q=chickasaw+cession+jackson+purchase+1818,search,"Charles C. Royce, Indian Land Cessions (Chickasaw Cession of 1818), BAE, 1899. Library of Congress Geography and Map Division.",Map showing the Jackson Purchase / Chickasaw Cession opening West Tennessee and Memphis to cotton settlement along the Mississippi.,NO,SSP.06; SSP.01,Shows how the 1818 Jackson Purchase opened West Tennessee/Memphis to cotton; Rhea's 1832 map is a good companion for river geography.,OK
Tennessee’s Golden Age (1800-1860),TN.21,"Explain the importance of transportation, technology, and geography in Tennessee’s growing involvement in the national economy after the War of 1812, including the significance of: Cash crops (e.g., cotton, tobacco); Natchez Trace; Road improvements; Steamboats",Yes,Map of the Natchez Trace and early Tennessee roads,map,National Park Service,1938,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/natr/planyourvisit/maps.htm,canonical,"National Park Service, Natchez Trace Parkway map. nps.gov.","Route map of the Natchez Trace running from Nashville toward Natchez, a key early transportation and trade corridor.",NO,SSP.06; SSP.01,"Natchez Trace map anchors the transportation-and-technology standard; Rhea 1832 (LOC) also shows roads, rivers, and steamboat landings.",OK
Tennessee’s Golden Age (1800-1860),TN.23,Describe the impact of the Indian Removal Act and the Trail of Tears on Tennessee.,Yes,Map of the Trail of Tears National Historic Trail routes across Tennessee,map,National Park Service,2003,NPS,U.S. government work — public domain,Yes,https://www.nps.gov/trte/planyourvisit/maps.htm,canonical,"National Park Service, Trail of Tears National Historic Trail map. nps.gov.",Map of the water and overland removal routes of the Cherokee Trail of Tears crossing Tennessee.,NO,SSP.06; SSP.01,NPS Trail of Tears route map (PD) is the priority source; pair with Royce Cherokee cession map to show removal from ceded homelands.,OK
