Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Age of Revolution (1750-1850),W.01,"Describe the concept of the divine right of kings as well as the features, strengths, and weaknesses of European absolutism, including: Louis XIV, Versailles, and Peter the Great.",,"Portrait of Louis XIV (""the Sun King"")",Painting/engraving,after Hyacinthe Rigaud,c. 1701,The Metropolitan Museum of Art,Public domain — verify individual item at repository,Yes,https://www.metmuseum.org/search-results?q=Louis+XIV+Rigaud,search,"Portrait of Louis XIV, after Hyacinthe Rigaud, c. 1701. The Metropolitan Museum of Art.",Full-length portrait of Louis XIV in coronation robes and ermine.,NO,SSP.01; SSP.02,Rigaud state portrait embodies divine-right absolutism; confirm CC0 open-access item.,OK
Age of Revolution (1750-1850),W.01,"Describe the concept of the divine right of kings as well as the features, strengths, and weaknesses of European absolutism, including: Louis XIV, Versailles, and Peter the Great.",,View of the Palace and Gardens of Versailles,Print/engraving,various (17th-18th c.),c. 1680-1720,Rijksmuseum,CC0 / open access (museum public-domain designation),Yes,https://www.rijksmuseum.nl/en/search?q=Versailles+palace,search,"View of the Palace of Versailles, engraving, late 17th c. Rijksmuseum (public domain).",Bird's-eye engraving of the Palace of Versailles and its formal gardens.,NO,SSP.01; SSP.02; SSP.06,,OK
Age of Revolution (1750-1850),W.01,"Describe the concept of the divine right of kings as well as the features, strengths, and weaknesses of European absolutism, including: Louis XIV, Versailles, and Peter the Great.",,Portrait of Peter the Great of Russia,Painting/print,various,early 18th c.,Rijksmuseum,CC0 / open access (museum public-domain designation),Yes,https://www.rijksmuseum.nl/en/search?q=Peter+the+Great+tsar,search,"Portrait of Peter the Great, early 18th c. Rijksmuseum (public domain).",Portrait of Tsar Peter the Great in armor.,NO,SSP.01; SSP.02,,OK
Age of Revolution (1750-1850),W.02,"Compare documents that establish limits on government in response to absolute monarchy (e.g., the Magna Carta and the English Bill of Rights).",,Magna Carta (1215),Legal document (text),King John / barons of England,1215,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/medieval/magna.asp,canonical,"Magna Carta, 1215. The Avalon Project, Yale Law School.",Transcribed English text of the 1215 Magna Carta charter.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.02,"Compare documents that establish limits on government in response to absolute monarchy (e.g., the Magna Carta and the English Bill of Rights).",,English Bill of Rights (1689),Legal document (text),Parliament of England,1689,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/17th_century/england.asp,canonical,"English Bill of Rights, 1689. The Avalon Project, Yale Law School.",Transcribed text of the 1689 English Bill of Rights limiting the crown.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.02,"Compare documents that establish limits on government in response to absolute monarchy (e.g., the Magna Carta and the English Bill of Rights).",,Magna Carta (original engrossment),Manuscript / facsimile,medieval scribe,1215-1297,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Magna+Carta,search,Magna Carta facsimile. Library of Congress.,Photograph of a medieval Magna Carta manuscript.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.03,"Compare the major ideas of philosophers during the Age of Enlightenment, such as Charles-Louis de Montesquieu, Thomas Hobbes, John Locke, and Jean-Jacques Rousseau.",,Two Treatises of Government,Book (text),John Locke,1689,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Locke+Two+Treatises+of+Government&type=all,search,"John Locke, Two Treatises of Government (1689). HathiTrust.",Title page and text of Locke's Two Treatises of Government.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.03,"Compare the major ideas of philosophers during the Age of Enlightenment, such as Charles-Louis de Montesquieu, Thomas Hobbes, John Locke, and Jean-Jacques Rousseau.",,Leviathan (frontispiece and text),Book / engraving,Thomas Hobbes,1651,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Hobbes+Leviathan+1651&type=all,search,"Thomas Hobbes, Leviathan (1651). HathiTrust.",Iconic frontispiece showing the sovereign composed of many small people.,NO,SSP.01; SSP.02; SSP.04,,OK
Age of Revolution (1750-1850),W.03,"Compare the major ideas of philosophers during the Age of Enlightenment, such as Charles-Louis de Montesquieu, Thomas Hobbes, John Locke, and Jean-Jacques Rousseau.",,The Social Contract / The Spirit of the Laws,Book (text),Rousseau; Montesquieu,1748-1762,HathiTrust Digital Library,Public domain (published pre-1929),Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Rousseau+Social+Contract+Montesquieu+Spirit+of+Laws&type=all,search,"Rousseau, The Social Contract (1762); Montesquieu, The Spirit of the Laws (1748). HathiTrust.",Title pages of Rousseau and Montesquieu Enlightenment treatises.,NO,SSP.01; SSP.02; SSP.03,Compare four philosophers; pair Locke/Hobbes flagship with Rousseau/Montesquieu.,OK
Age of Revolution (1750-1850),W.04,Examine the causes and consequences of the English Civil War.,Yes,The Execution of King Charles I (1649),Print/engraving,contemporary Dutch/English,1649,Rijksmuseum,CC0 / open access (museum public-domain designation),Yes,https://www.rijksmuseum.nl/en/search?q=execution+Charles+I+1649,search,"Execution of Charles I, engraving, 1649. Rijksmuseum (public domain).",Engraving of the beheading of Charles I outside the Banqueting House.,NO,SSP.01; SSP.02; SSP.05,,OK
