Unit / Cluster,Standard,Standard Text,Cartoon Title,Type,Creator,Year,Repository,Rights / License,Commercial OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
The American Revolution (1700-1783),8.14,"Explain the political contributions of Benjamin Franklin to the U.S., including the ""Join or Die"" cartoon and Albany Plan of Union.","Join, or Die",cartoon,Benjamin Franklin,1754,"Library of Congress, Prints & Photographs Division",Public domain — published 1754,Yes,https://www.loc.gov/pictures/search/?q=Join%20or%20Die%20Franklin,search,"Benjamin Franklin, ""Join, or Die,"" Pennsylvania Gazette, 1754. Library of Congress, Prints & Photographs Division. Public domain.","A segmented snake divided into eight labeled pieces representing the colonies, with the caption 'JOIN, or DIE.'",NO,SSP.01; SSP.02,The standard explicitly names the 'Join or Die' cartoon and the Albany Plan of Union; America's first political cartoon.,OK
The American Revolution (1700-1783),8.15,"Analyze the social, political, and economic causes of the events and groups of the American Revolution, including:
• The Quartering Act, 1765
• The Stamp Act, 1765
• The Declaratory Act, 1766
• The Townshend Acts, 1767
• The Boston Massacre, 1770
• The Boston Tea Party, 1773
• Intolerable/Coercive Acts, 1774
• Sons of Liberty","The Able Doctor, or America Swallowing the Bitter Draught",cartoon,Attributed to Paul Revere (after London Magazine engraving),1774,"Library of Congress, Prints & Photographs Division",Public domain — published 1774,Yes,https://www.loc.gov/pictures/search/?q=Able%20Doctor%20America%20Swallowing%20Bitter%20Draught,search,"""The Able Doctor, or America Swallowing the Bitter Draught,"" 1774. Library of Congress, Prints & Photographs Division. Public domain.","British ministers force tea down the throat of a woman (America) held down on the ground, symbolizing the Coercive Acts and Boston Port Act.",NO,SSP.01; SSP.02,"Directly illustrates British coercion (Intolerable/Coercive Acts, Boston Port Act) among the causes of the Revolution.",OK
The American Revolution (1700-1783),8.19,Compare and contrast the points of view of Loyalists and Patriots.,"A Society of Patriotic Ladies, at Edenton in North Carolina",cartoon,Attributed to Philip Dawe (London mezzotint),1775,"Library of Congress, Prints & Photographs Division",Public domain — published 1775,Yes,https://www.loc.gov/pictures/search/?q=Society%20of%20Patriotic%20Ladies%20Edenton,search,"Attributed to Philip Dawe, ""A Society of Patriotic Ladies, at Edenton in North Carolina,"" 1775. Library of Congress, Prints & Photographs Division. Public domain.","British satirical mezzotint mocking American women signing a tea-boycott pledge at Edenton, ridiculing Patriot resistance.",NO,SSP.01; SSP.02,A Loyalist/British satire ridiculing Patriot activity — excellent for contrasting Loyalist and Patriot points of view.,OK
The American Revolution (1700-1783),8.20,"Locate and explain the significance of the following during the American Revolution:
• Struggles of the Continental Army
• Battles of Trenton and Princeton
• Battle of Kings Mountain
• Battle of Saratoga
• Battle of Yorktown
• Guerrilla warfare","The Horse America, throwing his Master",cartoon,Unknown (London print),1779,"Library of Congress, Prints & Photographs Division",Public domain — published 1779,Yes,https://www.loc.gov/pictures/search/?q=Horse%20America%20throwing%20his%20Master,search,"""The Horse America, throwing his Master,"" 1779. Library of Congress, Prints & Photographs Division. Public domain.","A rearing horse labeled 'America' throws off its British rider (King George III) who wields a whip and cudgel, symbolizing the colonies' military resistance.",NO,SSP.01; SSP.02,Satirizes Britain's inability to subdue America militarily during the war of independence.,OK
The New Nation (1775-1800),8.24,"Describe the conflict between Federalists and Anti-Federalists over the ratification of the Constitution, including the protection of individual rights through the Bill of Rights and concern for states’ rights. (T.C.A. § 49-6-1028)",The Federal Edifice (The Federal Pillars),cartoon,Massachusetts Centinel (Benjamin Russell),1788,"Library of Congress, Prints & Photographs Division",Public domain — published 1788,Yes,https://www.loc.gov/pictures/search/?q=Federal%20Edifice%20pillars%201788,search,"""The Federal Edifice,"" Massachusetts Centinel, 1788. Library of Congress, Prints & Photographs Division. Public domain.","A rising classical building supported by pillars, each labeled for a ratifying state, with a hand raising the next pillar into place.",NO,SSP.01; SSP.02,The famous ratification 'pillars' series tracking states joining the Union — ideal for the Federalist push for the Constitution.,OK
The New Nation (1775-1800),8.26,"Explain how conflicts between Thomas Jefferson and Alexander Hamilton resulted in the emergence of two political parties by analyzing their views on foreign policy, economic policy, a national bank, and strict versus loose interpretation of the Constitution.",The Providential Detection,cartoon,Unknown (Federalist print),c. 1797–1800,"Library of Congress, Prints & Photographs Division",Public domain — published c. 1797–1800,Yes,https://www.loc.gov/pictures/search/?q=Providential%20Detection,search,"""The Providential Detection,"" c. 1797–1800. Library of Congress, Prints & Photographs Division. Public domain.","An American eagle stops Thomas Jefferson from burning the Constitution on an altar to French radicalism, satirizing the emerging party divide.",NO,SSP.01; SSP.02,A Federalist attack on Jefferson illustrating the partisan conflict that produced the first two political parties.,OK
The New Nation (1775-1800),8.27,"Explain the controversies that plagued the administration of President John Adams, including: the conflicts with Great Britain and France, the XYZ Affair, and the Alien and Sedition Acts.",Congressional Pugilists,cartoon,Unknown (American engraving),1798,"Library of Congress, Prints & Photographs Division",Public domain — published 1798,Yes,https://www.loc.gov/pictures/search/?q=Congressional%20Pugilists%201798,search,"""Congressional Pugilists,"" 1798. Library of Congress, Prints & Photographs Division. Public domain.",Congressmen Matthew Lyon and Roger Griswold brawl with cane and fire tongs on the floor of the House of Representatives.,NO,SSP.01; SSP.02,Captures the extreme Federalist–Republican partisanship of the Adams years surrounding the Alien and Sedition Acts.,OK
Growth of a Young Nation (1800-1820),8.29,Analyze the significance of the election of 1800 and Chief Justice John Marshall’s opinion in Marbury v. Madison.,Mad Tom in a Rage,cartoon,Unknown (Federalist print),c. 1801,"Library of Congress, Prints & Photographs Division",Public domain — published c. 1801,Yes,https://www.loc.gov/pictures/search/?q=Mad%20Tom%20in%20a%20Rage,search,"""Mad Tom in a Rage,"" c. 1801. Library of Congress, Prints & Photographs Division. Public domain.","Thomas Jefferson, aided by the devil, tries to pull down a pillar of the federal government, a Federalist attack tied to the election of 1800.",NO,SSP.01; SSP.02,A partisan reaction to Jefferson's victory in the 'Revolution of 1800.',OK
Growth of a Young Nation (1800-1820),8.30,"Explain the major events of Thomas Jefferson’s presidency, including:
• Conflict with the Barbary pirates
• Embargo Act
• Lewis and Clark Expedition
• Louisiana Purchase","Ograbme, or The American Snapping Turtle (The Embargo)",cartoon,Attributed to Alexander Anderson,1807,"Library of Congress, Prints & Photographs Division",Public domain — published c. 1807–1808,Yes,https://www.loc.gov/pictures/search/?q=Ograbme%20embargo%20turtle,search,"""Ograbme"" (The Embargo), c. 1807. Library of Congress, Prints & Photographs Division. Public domain.",A snapping turtle labeled 'Ograbme' (Embargo spelled backward) bites a merchant trying to smuggle goods to a British ship.,NO,SSP.01; SSP.02,The iconic protest cartoon against Jefferson's Embargo Act of 1807.,OK
Growth of a Young Nation (1800-1820),8.31,"Explain the causes, course, and consequences of the War of 1812, including:
• Use of impressment and trade restrictions between the U.S. and Great Britain
• Roles of Andrew Jackson and William Henry Harrison
• Significance of the Treaty of Ghent
• Rise in nationalism in the U.S.","A Boxing Match, or Another Bloody Nose for John Bull",cartoon,William Charles,1813,"Library of Congress, Prints & Photographs Division",Public domain — published 1813,Yes,https://www.loc.gov/pictures/search/?q=Boxing%20Match%20Another%20Bloody%20Nose%20for%20John%20Bull,search,"William Charles, ""A Boxing Match, or Another Bloody Nose for John Bull,"" 1813. Library of Congress, Prints & Photographs Division. Public domain.","President Madison and King George III as boxers; John Bull bleeds after a blow, celebrating a U.S. naval victory in the War of 1812.",NO,SSP.01; SSP.02,American War-of-1812 propaganda fueling the surge of postwar nationalism.,OK
