Unit / Cluster,Standard,Standard Text,Cartoon Title,Type,Creator,Year,Repository,Rights / License,Commercial OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Age of Revolution (1750-1850),W.06,"Summarize the major events of the French Revolution (e.g., storming of the Bastille, execution of Louis XVI, reign of terror), and trace the evolution of France's government from constitutional monarchy to democratic despotism to the Napoleonic Empire.","Un petit Souper, a la Parisienne (A Family of Sans-Culottes refreshing after the fatigues of the day)",cartoon,James Gillray,1792,"The Metropolitan Museum of Art (Open Access, CC0)",CC0 / Public domain — pre-1929 print,Yes,https://www.metmuseum.org/search-results?q=Un%20petit%20Souper%2C%20a%20la%20Parisienne%20%28A%20Family%20of%20Sans-Culottes%20&showOnly=openAccess,search,"James Gillray, ""Un petit Souper, a la Parisienne,"" hand-colored etching, London, 1792. British Museum, Department of Prints and Drawings. Public domain.","Colored etching of ragged French sans-culottes cannibalistically feasting on human body parts amid a wrecked room, Gillray's savage satire of the Reign of Terror.",NO,SSP.01; SSP.02,Iconic British satire of French Revolutionary violence; exact British Museum registration/object URL to be confirmed (verified:false).,OK
Age of Revolution (1750-1850),W.07,"Analyze the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte's empire.",The Plumb-pudding in danger; — or — State Epicures taking un Petit Souper,cartoon,James Gillray,1805,"Library of Congress, Prints & Photographs Division",Public domain — published 1805 (creator d. 1815).,Yes,https://www.loc.gov/search/?q=Gillray+plumb+pudding+in+danger&fa=partof:prints+and+photographs+division,catalog_search,"James Gillray, ""The Plumb-pudding in danger,"" hand-colored etching, London, 1805. Library of Congress, Prints & Photographs Division. Public domain.","William Pitt and Napoleon Bonaparte seated at a table carving up a globe-shaped plum pudding with swords, each slicing off his share of the world.",NO,SSP.01; SSP.02,Classic Napoleonic-era satire of great-power carve-up; exact LC control number to be confirmed (verified:false).,OK
The Industrial Revolution (1750s-1900s),W.15,"Evaluate the industrialization of Europe in terms of: Social benefits (e.g., increases in productivity and life expectancy); Social costs (e.g., harsh working and living conditions, pollution, child labor, and income inequality); Attempts to address these costs (e.g., political reform, urban planning, philanthropy, labor unionism, education reform, and public health and sanitation)",Capital and Labour,cartoon,Punch (attributed to John Leech),1843,"Punch, via HathiTrust","Public domain — published in Punch, 1843.",Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Punch+or+the+London+Charivari+1843&type=all,catalog_search,"""Capital and Labour,"" Punch, or the London Charivari, vol. 5 (1843). Digitized by HathiTrust. Public domain.","Split-scene cartoon contrasting wealthy factory owners lounging in luxury above with emaciated laborers, women, and children toiling in a dark mine below.",NO,SSP.01; SSP.02,Punch social-cost-of-industrialization satire; exact HathiTrust volume/page to be confirmed (verified:false).,OK
The Industrial Revolution (1750s-1900s),W.16,"Compare and contrast the rise of the following economic theories as a result of industrialization: capitalism, communism, and socialism.",Pyramid of the Capitalist System,cartoon,"Nedeljkovich, Brashich & Kuharich (International Publishing Co.)",1911,"Pre-1929 periodical (Industrial Worker), via Internet Archive",Public domain — published 1911.,Yes,https://archive.org/search?query=pyramid+of+capitalist+system+1911,catalog_search,"""Pyramid of Capitalist System,"" issued by Nedeljkovich, Brashich & Kuharich, 1911; reprinted in the Industrial Worker. Public domain.","Tiered pyramid cartoon: workers at the base crushed under stacked tiers of capitalists, military, clergy, and monarch, captioned 'we work for all / we feed all.'",NO,SSP.01; SSP.02,Labor-movement critique contrasting capitalism/socialism/communism; exact Internet Archive item to be confirmed (verified:false).,OK
Nationalism and Imperialism (1850-1914),W.19,"Define imperialism, and analyze reasons for 19th century imperialism, including: competition between empires, cultural justifications, and the search for natural resources and new markets in response to rapid industrialization.",The White Man's Burden (Apologies to Rudyard Kipling),cartoon,Victor Gillam,1899,Pre-1929 periodical (Judge magazine),"Public domain — published in Judge, 1899.",Yes,https://www.loc.gov/search/?q=white+man%27s+burden+Gillam+Judge,catalog_search,"Victor Gillam, ""The White Man's Burden (Apologies to Rudyard Kipling),"" Judge, April 1, 1899. Public domain.","John Bull and Uncle Sam carrying baskets of caricatured colonized peoples up a steep hill toward 'civilization,' satirizing imperialism's cultural justifications.",NO,SSP.01; SSP.02,Depicts the 'civilizing mission' rationale for 19th-century imperialism; exact repository copy to be confirmed (verified:false).,OK
Nationalism and Imperialism (1850-1914),W.21,"Analyze the outcomes of the Berlin Conference and the impact of superimposed boundaries on African indigenous populations, and compare the geographic progression of imperialistic claims on the African continent by European empires.",The Rhodes Colossus: Striding from Cape Town to Cairo,cartoon,Edward Linley Sambourne,1892,"Punch, via HathiTrust","Public domain — published in Punch, 1892.",Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Punch+or+the+London+Charivari+1892&type=all,catalog_search,"Edward Linley Sambourne, ""The Rhodes Colossus,"" Punch, or the London Charivari, December 10, 1892. Digitized by HathiTrust. Public domain.","Cecil Rhodes drawn as a giant straddling the African continent from Cape Town to Cairo, holding a telegraph line, embodying the Scramble for Africa.",NO,SSP.01; SSP.02,Emblematic Scramble-for-Africa / post-Berlin-Conference imperial ambition cartoon; exact HathiTrust page to be confirmed (verified:false).,OK
Nationalism and Imperialism (1850-1914),W.23,"Describe the importance of India to the British Empire, the Suez Canal as a connection between Great Britain and India, and India's reaction to British rule.",The British Lion's Vengeance on the Bengal Tiger,cartoon,John Tenniel,1857,"Punch, via HathiTrust","Public domain — published in Punch, 1857.",Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Punch+or+the+London+Charivari+1857&type=all,catalog_search,"John Tenniel, ""The British Lion's Vengeance on the Bengal Tiger,"" Punch, August 22, 1857. Digitized by HathiTrust. Public domain.","A powerful British lion leaping upon a snarling Bengal tiger that stands over a fallen woman and child, a charged British response to the 1857 Indian Rebellion.",NO,SSP.01; SSP.02,British imperial view of India and the 1857 uprising; exact HathiTrust page to be confirmed (verified:false).,OK
Nationalism and Imperialism (1850-1914),W.24,Explain the growing influence of western powers on China from the Opium Wars through the Boxer Rebellion.,En Chine — Le gâteau des Rois et... des Empereurs (China — the cake of kings and emperors),cartoon,Henri Meyer,1898,Library of Congress (Prints & Photographs),Public domain — published 1898 (creator d. 1899).,Yes,https://www.loc.gov/search/?q=En%20Chine%20%E2%80%94%20Le%20g%C3%A2teau%20des%20Rois%20et...%20des%20Empereurs%20%28China%20%E2%80%94%20t&fa=partof:prints+and+photographs+division,search,"Henri Meyer, ""En Chine — Le gâteau des Rois et... des Empereurs,"" Le Petit Journal, January 16, 1898. Public domain.","Britain, Germany, Russia, France, and Japan around a pie labeled 'Chine,' knives drawn to carve it up while a Qing official protests, satirizing Western spheres of influence in China.",NO,SSP.01; SSP.02,Western/Japanese partition pressure on China in the Opium-Wars-to-Boxer era; exact repository surrogate to be confirmed (verified:false).,OK
World War I through the Depression (1910s-1930s),W.30,"Explain how the rise of militarism, alliances, imperialistic rivalries, and growing nationalism led to the outbreak of World War I.",The Chain of Friendship,cartoon,Unsigned (Brooklyn Daily Eagle),1914,Pre-1929 periodical (Brooklyn Daily Eagle),Public domain — published 1914.,Yes,https://www.loc.gov/search/?q=chain+of+friendship+cartoon+1914,catalog_search,"""The Chain of Friendship,"" Brooklyn Daily Eagle, 1914. Public domain.","A row of national figures each pointing a weapon at the next — Austria at Serbia, Russia at Austria, Germany at Russia, and so on — illustrating how the alliance system dragged Europe into war.",NO,SSP.01; SSP.02,Depicts the alliance/entanglement mechanism behind WWI's outbreak; exact repository copy to be confirmed (verified:false).,OK
World War I through the Depression (1910s-1930s),W.36,"Compare the goals of leading nations (i.e., U.S., France, Great Britain, Italy, and Japan) at the Paris Peace Conference with the outcomes of the Treaty of Versailles and its impact on Germany.",Peace and Future Cannon Fodder (The Tiger: 'Curious! I seem to hear a child weeping.'),cartoon,Will Dyson,1919,"Pre-1929 periodical (Daily Herald, London)",Public domain — published 1919 (creator d. 1938).,Yes,https://www.loc.gov/search/?q=Will+Dyson+peace+cannon+fodder,catalog_search,"Will Dyson, ""Peace and Future Cannon Fodder,"" Daily Herald (London), May 17, 1919. Public domain.","The 'Big Four' leaving the Versailles peace talks as Clemenceau (the Tiger) hears a naked weeping child labeled '1940 Class,' foretelling a future war.",NO,SSP.01; SSP.02,Prescient critique of the Treaty of Versailles settlement; exact repository copy to be confirmed (verified:false).,OK
