Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
High School / Elective,TN.01,Describe changes in life in the Tennessee region from the late ice age through the Archaic period.,"Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.02,Compare and contrast features of life in the Tennessee region during the Woodland and Mississippian periods.,"Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.03,"Analyze the customs and traditions of American Indians located in the Tennessee region prior to European contact, including: Cherokee; Chickasaw; Creek; Iroquois; Shawnee","Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.04,"Describe the impact of European exploration in the Tennessee region, including the significance of Christopher Columbus, Hernando de Soto, and Juan Pardo.","Indigenous Peoples of Tennessee (c. 10,000-1,000 BCE)",Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.05,Describe the influx of British and French settlers and fur traders in the Tennessee region and their impact on American Indian tribes.,The Struggle for Tennessee’s Frontier (1600s-1700s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.06,"Explain the contest between the British, the French, and American Indians for land in the Tennessee region prior to the French and Indian War.",The Struggle for Tennessee’s Frontier (1600s-1700s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.07,"Describe the effects of migration into the Tennessee region, including the development of the Watauga and Cumberland Settlements.",The Struggle for Tennessee’s Frontier (1600s-1700s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.08,"Identify episodes of fighting that occurred in the Tennessee region during the American Revolution (e.g., Battle of Kings Mountain) and the effects of American victory on the area.",The Struggle for Tennessee’s Frontier (1600s-1700s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.09,Identify reasons for the foundation and failure of the independent state of Franklin in 1784.,From Territory to Statehood (1784-1796),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.10,"Analyze the effects of land speculation on settlement in the Territory South of the River Ohio (i.e., the Southwest Territory).",From Territory to Statehood (1784-1796),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.11,Analyze the conflicts between early Tennessee settlers and American Indians.,From Territory to Statehood (1784-1796),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.12,Describe the events and trace the process of Tennessee achieving statehood in 1796.,From Territory to Statehood (1784-1796),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.13,Describe major features of the Tennessee Constitution of 1796. (T.C.A. §49-6-1028),From Territory to Statehood (1784-1796),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.14,"Analyze the growth of Middle Tennessee in the early 1800s in power and influence, including the relocation of the capital.",Tennessee’s Coming of Age (1796-1812),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.15,"Describe the distribution of slaves between the three grand divisions of Tennessee, the lives of free blacks and slaves, and the role of Tennesseans in the early abolition movement (e.g., Elihu Embree).",Tennessee’s Coming of Age (1796-1812),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.16,"Describe aspects of farm life, work, religion, and community for families in early Tennessee.",Tennessee’s Coming of Age (1796-1812),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.17,Describe the economy of Tennessee in the early 19th century.,Tennessee’s Coming of Age (1796-1812),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.18,Describe the New Madrid Earthquakes of 1811-12 and the resulting effects on the land and culture of Tennessee.,Tennessee’s Coming of Age (1796-1812),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.19,"Describe Tennessee’s involvement in the War of 1812 (e.g., Tennessee volunteers, Felix Grundy, Andrew Jackson), and analyze the role of American Indians during the war.",Tennessee’s Coming of Age (1796-1812),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.20,"Describe the significance of the Mississippi River, the Jackson Purchase, and the introduction of cotton in the rapid growth of Memphis and West Tennessee.",Tennessee’s Coming of Age (1796-1812),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.21,"Explain the importance of transportation, technology, and geography in Tennessee’s growing involvement in the national economy after the War of 1812, including the significance of: Cash crops (e.g., cotton, tobacco); Natchez Trace; Road improvements; Steamboats",Tennessee’s Golden Age (1800-1860),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.22,Describe the contributions of Presidents Andrew Jackson and James K. Polk to Tennessee and American history.,Tennessee’s Golden Age (1800-1860),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.23,Describe the impact of the Indian Removal Act and the Trail of Tears on Tennessee.,Tennessee’s Golden Age (1800-1860),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.24,"Discuss the contributions of important figures during Tennessee’s “golden age,” including: John Bell; David Crockett; James C. Jones; Newton Cannon; Ephraim Foster; Sequoyah; William Carroll; Sam Houston; Hugh Lawson White",Tennessee’s Golden Age (1800-1860),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.25,Identify the significance of the Tennessee Constitution of 1834. (T.C.A. §49-6-1028),Tennessee’s Golden Age (1800-1860),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.26,"Describe the development of slavery in Tennessee from 1800 to 1860, including the distribution of slaves and conflicting attitudes among the three grand divisions.",Tennessee’s Golden Age (1800-1860),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.27,Discuss the importance of the Nashoba Community and Free Hill as settlements for freed slaves.,Tennessee’s Golden Age (1800-1860),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.28,Explain the causes of the Civil War and how geographic and political divisions impacted Tennessee’s secession.,Tennessee: A Time of Troubles (1860-1865),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.29,"Describe Tennessee’s role in the Civil War, including: Sieges of Fort Henry and Fort Donelson; Battle of Shiloh; Battle of Stones River; Chattanooga Campaign; Johnsonville Campaign; Battle of Franklin; Battle of Nashville",Tennessee: A Time of Troubles (1860-1865),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.30,"Identify the contributions of Tennesseans during the Civil War, including: Sam Davis; William Driver; David Farragut; Nathan Bedford Forrest; Isham Harris; Andrew Johnson; Sam Watkins",Tennessee: A Time of Troubles (1860-1865),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.31,"Describe how the Civil War impacted various populations in Tennessee (e.g., African Americans, American Indians, and women).",Tennessee during Reconstruction (1865-1880),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.32,Explain William Brownlow’s role in the development of Reconstruction.,Tennessee during Reconstruction (1865-1880),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.33,Discuss the impeachment of President Andrew Johnson and its impact both nationally and in Tennessee.,Tennessee during Reconstruction (1865-1880),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.34,"Describe the rise, influence, and opposition of the Ku Klux Klan in Tennessee.",Tennessee during Reconstruction (1865-1880),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.35,"Explain the development and efforts of the Freedmen’s Bureau schools, including Fisk University.",Tennessee during Reconstruction (1865-1880),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.36,"Identify early elected black lawmakers and leaders in Tennessee (e.g., Sampson Keeble and William Yardley), and determine their significance.",Tennessee during Reconstruction (1865-1880),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.37,Explain the development of the 1870 Tennessee Constitution. (T.C.A. § 49-6-1028),Tennessee during Reconstruction (1865-1880),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.38,"Identify exodusters (e.g., Benjamin “Pap” Singleton), and describe their experiences.",Tennessee during Reconstruction (1865-1880),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.39,Explain developments in Tennessee’s farming during the late 19th century as a result of industrialization.,Tennessee in the New South (1880-1890s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.40,"Describe the social, economic, and political changes to Tennessee in the post-Reconstruction era, and identify the laws put in place to exclude black lawmakers by 1890.",Tennessee in the New South (1880-1890s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.41,Discuss the impact of the yellow fever epidemic on Memphis.,Tennessee in the New South (1880-1890s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.42,Describe the events that led to the Coal Creek Wars in Anderson and the surrounding counties over the state of Tennessee’s decision to replace coal miners with prisoners.,Tennessee in the New South (1880-1890s),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.43,"Describe Tennessee’s Centennial Exposition, and explain its significance.",Tennessee in the New South (1880-1890s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.44,"Analyze the effect of Jim Crow laws on Tennessee, and identify the efforts of advocates for African Americans, including the significance of: W.E.B. Du Bois, James Napier, and Mary Church Terrell.",Tennessee in the New South (1880-1890s),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.45,"Summarize the influence of and reactions to the temperance movement in Tennessee, including the murder of Senator Edward Carmack.",Tennessee: Reform and War (1900-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.46,"Describe Tennessee’s impact on the suffrage movement, including the following: “Perfect 36,” Harry Burn, Anne Dallas Dudley, and A.H. Roberts.",Tennessee: Reform and War (1900-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.47,"Explain Tennessee’s connection to World War I, including the impact of Alvin C. York and the Alcoa plant.",Tennessee: Reform and War (1900-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.48,Identify Governor Austin Peay and his influence on Tennessee’s infrastructure and education.,Tennessee: Reform and War (1900-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.49,Analyze how the Scopes Trial reflected societal tension between tradition and modernity.,Tennessee: Reform and War (1900-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.50,"Describe major developments in country music (e.g., Grand Ole Opry, WSM, and the Carter family) and blues music (e.g., W.C. Handy and Bessie Smith) in Tennessee during this era.",Tennessee: Reform and War (1900-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.51,"Describe how the Great Depression and New Deal programs impacted Tennesseans, including the significance of: the Agricultural Adjustment Act, Civilian Conservation Corps, Tennessee Valley Authority, and Great Smoky Mountains National Park.",Tennessee: Reform and War (1900-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.52,"Analyze the impact Tennessee innovators (e.g., David Crosthwait and Clarence Saunders) had on the nation.",Tennessee: Reform and War (1900-1945),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.53,"Evaluate Tennessee’s contributions during World War II, including the impact of Camp Forrest, Camp Tyson, and Oak Ridge as well as the influence of Tennesseans during the war (e.g., Cornelia Fort and Cordell Hull).",Tennessee: Reform and War (1900-1945),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.54,Describe major agricultural shifts in Tennessee post-World War II and their impact economically and socially.,Tennessee in Modern Times (1945-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.55,"Analyze the significance of key Tennesseans on both the state and national level during the 1950s and 1960s, including: Frank Clement, Ed Crump, Al Gore, Sr., Estes Kefauver, and John Seigenthaler.",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.56,"Describe Tennessee’s role in the Civil Rights Movement (e.g., sit-ins and Diane Nash, Highlander Folk School, Tent City Movement of Fayette County, Columbia Race Riots, and the Clinton Twelve). (T.C.A. § 49-6-1006)",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.57,"Identify major Tennessee figures involved in the Civil Rights Movement (e.g., Rev. James Lawson, Kelly Miller Smith). (T.C.A. § 49-6-1006)",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.58,"Describe the purpose of Martin Luther King, Jr.’s presence in Memphis, the circumstances leading to his assassination, and the significance of the placement of the National Civil Rights Museum at the Lorraine Motel. (T.C.A. § 49-6-1006)",Tennessee in Modern Times (1945-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.59,"Discuss the development of rock ‘n’ roll music in Tennessee and its impact on the changing American culture, including the significance of: Elvis Presley, Stax Records, and Sun Studio.",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.60,"Describe cultural developments in Tennessee during the 1970s and 1980s, including: Country Music Hall of Fame, Music Row, Opryland, and the 1982 World’s Fair.",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.61,"Identify the contributions of influential Tennesseans of the era, including: Lamar Alexander; Alex Haley; Pat Summitt; Howard Baker; Dolly Parton; Fred Thompson; Al Gore, Jr.; Wilma Rudolph; Oprah Winfrey",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.62,"Identify major attractions and events that fuel the tourism industry in Tennessee, including the impact of: Bristol Motor Speedway; Pigeon Forge (Gatlinburg); Civil War sites; State and national parks; CMA Music Festival; Tennessee Aquarium; Graceland",Tennessee in Modern Times (1945-present),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.63,"Discuss the impact of major businesses in Tennessee, such as: AutoZone; Nissan; Eastman; Toyota; FedEx; Volkswagen; HCA",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School / Elective,TN.64,"Describe significant and/or unique products from Tennessee (e.g., Cracker Barrel, Goo Goo Cluster, Moon Pie, Mountain Dew).",Tennessee in Modern Times (1945-present),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
