Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Colonization (1607-1750),8.01,"Explain the founding and development of Jamestown as the first permanent English colony, its early struggles, the economic and political structure, and role of the Powhatan people.",Yes,Virginia / Discovered and Discribed by Captayn John Smith (1612),map,John Smith; engraved by William Hole,1612,Library of Congress Geography & Map Division,Public domain — published 1612,Yes,https://www.loc.gov/maps/?q=john+smith+virginia+1612+powhatan,search,"John Smith, ""Virginia,"" engraved by William Hole, 1612. Library of Congress Geography & Map Division.","Early 17th-century map of the Virginia tidewater and Chesapeake Bay showing Powhatan villages, rivers, and the Jamestown region, oriented with west at the top.",NO,SSP.06; SSP.01,Foundational map for Jamestown/Powhatan; labels Powhatan settlements. Use search link then select the 1612 Hole engraving.,OK
Colonization (1607-1750),8.02,"Explain the founding and development of the Plymouth Colony, including the significance of: the Mayflower Compact, interactions with Squanto, and the role of religious freedom.",Yes,"New England (Plymouth region), captured by Capt. John Smith (1616/1624)",map,John Smith,1624,Library of Congress Geography & Map Division,Public domain — published 1624,Yes,https://www.loc.gov/maps/?q=john+smith+new+england+plymouth,search,"John Smith, ""New England,"" 1624. Library of Congress Geography & Map Division.",Early map of the New England coast naming Plymouth and surrounding harbors used by the Pilgrims.,NO,SSP.06; SSP.01,Smith's New England map named 'Plymouth' before the Pilgrims arrived; ties directly to Mayflower landing site.,OK
Colonization (1607-1750),8.03,"Explain the founding and development of the Massachusetts Bay Colony, including the significance of:
• Anne Hutchinson
• Role of theocracy
• Salem Witch Trials
• Town meetings",Yes,Map of the Massachusetts Bay Colony and vicinity,map,Various (18th-c. English cartographers),c. 1730,Library of Congress Geography & Map Division,Public domain — published before 1929,Yes,https://www.loc.gov/maps/?q=massachusetts+bay+colony+boston+salem,search,"Map of the Massachusetts Bay Colony, c. 1730. Library of Congress Geography & Map Division.","Colonial-era map of Massachusetts Bay showing Boston, Salem, and surrounding towns.",NO,SSP.06; SSP.01,"Locate Boston and Salem (Witch Trials, town meetings). Search then choose a pre-1929 Massachusetts Bay sheet.",OK
Colonization (1607-1750),8.04,"Explain the motivation for and the founding of the Rhode Island and Connecticut Colonies, including the roles of Roger Williams and Thomas Hooker.",Yes,A New Map of New England (Rhode Island & Connecticut colonies),map,Various (18th-c. English cartographers),c. 1755,Library of Congress Geography & Map Division,Public domain — published before 1929,Yes,https://www.loc.gov/maps/?q=new+england+connecticut+rhode+island+colony,search,"A New Map of New England, c. 1755. Library of Congress Geography & Map Division.",Colonial map of New England showing Rhode Island (Providence) and Connecticut (Hartford) colony boundaries.,NO,SSP.06; SSP.01,Shows Rhode Island and Connecticut founded by Williams and Hooker relative to Massachusetts.,OK
Colonization (1607-1750),8.05,"Analyze the economic motivation for the Dutch founding New Netherlands, the diverse population of the colony, and the transition to the English colony of New York.",Yes,Novi Belgii Novaeque Angliae (New Netherland and New England),map,Nicolaes Visscher,1685,Library of Congress Geography & Map Division,Public domain — published 1685,Yes,https://www.loc.gov/maps/?q=novi+belgii+new+netherland+visscher,search,"Nicolaes Visscher, ""Novi Belgii Novaeque Angliae,"" c. 1685. Library of Congress Geography & Map Division.","Dutch map of New Netherland showing the Hudson River, New Amsterdam (later New York), and a New Amsterdam city inset.",NO,SSP.06; SSP.01,Classic New Netherland map with New Amsterdam inset; illustrates Dutch colony and transition to New York.,OK
Colonization (1607-1750),8.06,"Analyze the founding of Pennsylvania as a haven for Quakers and the tolerance that drew many different groups to the colony, including the significance of:
• William Penn
• Philadelphia
• Relationship with American Indians
• Role of women",Yes,A Portraiture of the City of Philadelphia / Map of Pennsylvania,map,Thomas Holme,1683,Library of Congress Geography & Map Division,Public domain — published 1683,Yes,https://www.loc.gov/maps/?q=thomas+holme+philadelphia+pennsylvania+penn,search,"Thomas Holme, ""A Portraiture of the City of Philadelphia,"" 1683. Library of Congress Geography & Map Division.",Late 17th-century grid plan of Philadelphia laid out for William Penn's Pennsylvania colony.,NO,SSP.06; SSP.01,Holme's planned grid for Penn's Philadelphia; supports Quaker haven and city founding.,OK
Colonization (1607-1750),8.07,"Explain the reasons behind the settlement of the Georgia Colony, including: its designation as a “debtor” colony, its function as a “buffer” colony, and the role of James Oglethorpe in its founding.",Yes,A Map of the County of Savannah / Colony of Georgia,map,Various (Oglethorpe-era English cartographers),c. 1735,Library of Congress Geography & Map Division,Public domain — published before 1929,Yes,https://www.loc.gov/maps/?q=georgia+colony+savannah+oglethorpe,search,"Map of the Colony of Georgia / Savannah, c. 1735. Library of Congress Geography & Map Division.",Early map of the Georgia colony showing Savannah and the buffer zone between South Carolina and Spanish Florida.,NO,SSP.06; SSP.01,"Shows Georgia's location as a buffer colony between the Carolinas and Spanish Florida (Oglethorpe, Savannah).",OK
Colonization (1607-1750),8.08,"Locate and identify the Thirteen Colonies, and describe how their location and geographic features influenced regional economic development.",Yes,"The Thirteen Colonies, 1775 (colonial regions)",map,U.S. National Park Service / historical reference,c. 1775,Perry-Castañeda Library Map Collection (UT Austin),Public domain — U.S. government work,Yes,https://legacy.lib.utexas.edu/maps/histus.html,canonical,"The Thirteen Colonies. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Reference map of the thirteen British colonies grouped into New England, Middle, and Southern regions along the Atlantic seaboard.",NO,SSP.06; SSP.01,Core 'locate the 13 colonies' map; PCL Historical US page hosts clean regional colonial maps.,OK
Colonization (1607-1750),8.08,"Locate and identify the Thirteen Colonies, and describe how their location and geographic features influenced regional economic development.",Yes,A Map of the British Colonies in North America (Mitchell Map),map,John Mitchell,1755,Library of Congress Geography & Map Division,Public domain — published 1755,Yes,https://www.loc.gov/maps/?q=mitchell+map+british+colonies+north+america+1755,search,"John Mitchell, ""A Map of the British and French Dominions in North America,"" 1755. Library of Congress Geography & Map Division.",Large 1755 map of the British colonies along the Atlantic coast with geographic features shaping regional economies.,NO,SSP.06; SSP.01,"Shows geographic features (fall line, coastal plain, rivers) linked to regional economic development.",OK
Colonization (1607-1750),8.09,"Compare and contrast the locations and goals of British, French, and Spanish settlements in North America.",Yes,A Map of the British and French Dominions in North America (Mitchell Map),map,John Mitchell,1755,Library of Congress Geography & Map Division,Public domain — published 1755,Yes,https://www.loc.gov/maps/?q=mitchell+british+french+dominions+north+america,search,"John Mitchell, ""A Map of the British and French Dominions in North America,"" 1755. Library of Congress Geography & Map Division.",Mid-18th-century map contrasting British coastal colonies with French interior claims across North America.,NO,SSP.06; SSP.02,"Compare/contrast British, French, and Spanish claims; pairs with a 1750 North America map.",OK
