Unit / Cluster,Standard,Standard Text,Chart Title,Chart Type,What the Chart Shows,Data Source,Data Source URL,Data Rights,Commercial OK?,Citation,Schedule F (SSP),Build Note,Guardrail Check
Colonization (1607-1750),8.01,"Explain the founding and development of Jamestown as the first permanent English colony, its early struggles, the economic and political structure, and role of the Powhatan people.","Growth of the Virginia Colony, 1610-1780",line,Line chart showing the estimated population of the Virginia colony climbing from a few hundred settlers around 1610 to several hundred thousand by 1780.,"Historical Statistics of the United States, Series Z 1-19 (Estimated population of American Colonies: Virginia)",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series Z 1-19.",SSP.01; SSP.02,Grounds Jamestown's early struggles vs. later stability in real colonial population estimates. Y-axis best shown on a log scale to reveal early survival crisis.,OK
Colonization (1607-1750),8.08,"Locate and identify the Thirteen Colonies, and describe how their location and geographic features influenced regional economic development.","Population of the Thirteen Colonies by Region, 1650-1770",stacked_bar,"Stacked bar chart of colonial population at 1650, 1700, 1750, and 1770, grouped into New England, Middle, and Southern colonies.","Historical Statistics of the United States, Series Z 1-19 (Estimated population of the American Colonies, by colony)",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series Z 1-19.",SSP.01; SSP.02; SSP.06,Regroup the per-colony Z-series into New England / Middle / Southern to connect geography to regional economic development.,OK
Colonization (1607-1750),8.10,"Identify the origins and development of slavery in the colonies, overt and passive resistance to enslavement, and the Middle Passage.","Volume of the Transatlantic Slave Trade by Decade, 1601-1800",bar,"Bar chart of the estimated number of enslaved Africans embarked on transatlantic voyages per decade from 1601 to 1800, peaking in the 18th century.","Trans-Atlantic Slave Trade Database — captives embarked, aggregated by decade (Estimates dashboard)",https://ourworldindata.org/grapher/slave-trade-atlantic,CC BY — Our World in Data,Yes,"Slave Voyages, Trans-Atlantic Slave Trade Database, https://www.slavevoyages.org (accessed 2026).",SSP.01; SSP.02,Slave Voyages is an .edu-affiliated academic dataset (Emory/Rice). Cite database and note it is estimate-based; confirm educational-use terms before redistribution.,OK
Colonization (1607-1750),8.10,"Identify the origins and development of slavery in the colonies, overt and passive resistance to enslavement, and the Middle Passage.","Where Captives of the Middle Passage Arrived, by Region",bar,"Horizontal bar chart comparing the estimated number of enslaved Africans disembarked in mainland North America versus the Caribbean and South America, showing North America received a small share.","Trans-Atlantic Slave Trade Database — captives disembarked by broad region of arrival (Mainland North America, Caribbean, Brazil, etc.)",https://ourworldindata.org/grapher/slave-trade-atlantic,CC BY — Our World in Data,Yes,"Slave Voyages, Trans-Atlantic Slave Trade Database, https://www.slavevoyages.org (accessed 2026).",SSP.01; SSP.02; SSP.06,Contextualizes the scale of the Middle Passage and corrects the common overestimate of arrivals in what became the U.S. Academic dataset; note estimate basis.,OK
The New Nation (1775-1800),8.28,Identify how westward expansion led to the statehood of Tennessee and the importance of the first state constitution (1796). (T.C.A. § 49-6-1028),"Tennessee Population Growth, 1790-1860",line,"Line chart of Tennessee's population at each census from 1790 to 1860, rising steeply as westward settlement accelerated after statehood in 1796.","Historical Statistics of the United States, Series A 195-209 (Population of states); decennial census counts for Tennessee",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series A 195-209.",SSP.01; SSP.02,Ties westward expansion and 1796 statehood to concrete population growth for the home-state standard.,OK
Sectionalism and Reform (1790s-1850s),8.34,"Describe the development of the agrarian economy in the South, the locations of the cotton-producing states, the significance of cotton and the cotton gin, and the founding of Memphis as a center for cotton and the slave trade.","U.S. Cotton Production, 1790-1860",line,"Line chart of U.S. cotton production in bales from 1790 to 1860, rising sharply after the cotton gin toward roughly four million bales by 1860.","Historical Statistics of the United States, Series K 550-563 (Cotton — acreage, production, and price)",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series K 550-563.",SSP.01; SSP.02; SSP.04,Directly supports cotton gin cause-and-effect; annotate 1793 (Whitney's gin) to show the inflection.,OK
Sectionalism and Reform (1790s-1850s),8.34,"Describe the development of the agrarian economy in the South, the locations of the cotton-producing states, the significance of cotton and the cotton gin, and the founding of Memphis as a center for cotton and the slave trade.","Cotton as a Share of U.S. Exports, 1815-1860",area,"Area chart showing raw cotton's value as a share of total U.S. exports from 1815 to 1860, hovering around half of all export value.","Historical Statistics of the United States, Series U 274-294 (Value of exports of selected commodities, incl. raw cotton) and total merchandise exports",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series U 274-294.",SSP.01; SSP.02; SSP.04,Shows why cotton dominated the antebellum economy; Memphis as a cotton/slave-trade hub follows from this national dependence.,OK
Sectionalism and Reform (1790s-1850s),8.35,Analyze the characteristics of Southern society and its influence on the social and political conditions prior to the Civil War.,"Enslaved Population by Southern State, 1860",bar,"Bar chart ranking Southern states by number of enslaved people in 1860, led by Virginia, Georgia, Mississippi, Alabama, and South Carolina.","Population of the United States in 1860 (Eighth Census), slave population tables by state",https://www.census.gov/library/publications/1864/dec/1860a.html,Public domain (U.S. federal government work),Yes,"U.S. Census Office, Population of the United States in 1860: Eighth Census (Washington, DC: GPO, 1864).",SSP.01; SSP.02; SSP.06,Anchors 'Southern society' in official 1860 census counts; can add enslaved share of each state's total population as a second series.,OK
Sectionalism and Reform (1790s-1850s),8.36,"Identify the conditions of enslavement, and explain how slaves adapted to and resisted bondage in their daily lives, including Nat Turner's revolt.","Growth of the Enslaved Population in the United States, 1790-1860",line,"Line chart of the total enslaved population of the United States at each census from 1790 to 1860, rising from under 700,000 to roughly four million.","Historical Statistics of the United States, Series A 91-104 (Population, by race and status: free and enslaved), decennial 1790-1860",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series A 91-104.",SSP.01; SSP.02,"After the 1808 import ban, growth reflects natural increase within the U.S. — a key point for conditions of enslavement.",OK
Sectionalism and Reform (1790s-1850s),8.37,"Explain the development of the American Industrial Revolution, including:
• Eli Whitney and interchangeable parts
• Emergence of trade unions
• Lowell System
• Role of the textile industry
• Samuel Slater","Rise of the U.S. Cotton Textile Industry, 1810-1860",line,"Line chart of active cotton-spinning spindles in U.S. textile mills from 1810 to 1860, climbing rapidly as the Lowell System spread.","Historical Statistics of the United States, Series P 265-277 (Cotton consumed and cotton-spinning spindles in place)",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series P 265-277.",SSP.01; SSP.02; SSP.04,Quantifies the textile industry and Lowell/Slater factory system central to the American Industrial Revolution standard.,OK
Sectionalism and Reform (1790s-1850s),8.38,Describe how technological developments affected the growth of the industrial economy and cities in the North.,"Growth of Northern Cities, 1790-1860",line,"Line chart comparing the populations of New York, Philadelphia, and Boston at each census from 1790 to 1860, all rising steeply.","U.S. Census Bureau, Population of the 100 Largest Urban Places, 1790-1990 (New York, Philadelphia, Boston)",https://www.census.gov/library/working-papers/1998/demo/POP-twps0027.html,Public domain (U.S. federal government work),Yes,"Campbell Gibson, Population of the 100 Largest Cities and Other Urban Places in the United States: 1790 to 1990, U.S. Census Bureau Working Paper No. 27 (1998).",SSP.01; SSP.02; SSP.06,Links industrial/technological growth to Northern urbanization using an official Census historical-cities table.,OK
Sectionalism and Reform (1790s-1850s),8.39,"Identify the push-pull factors for Irish and German immigrants, and describe the impact of their arrival in the U.S. prior to the Civil War.","Irish and German Immigration to the U.S., 1820-1860",line,"Two-line chart of annual immigration from Ireland and from the German states, 1820-1860, both surging in the late 1840s and 1850s.","Historical Statistics of the United States, Series C 89-119 (Immigrants, by country of last residence — Ireland and Germany)",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series C 89-119.",SSP.01; SSP.02; SSP.04,Annotate the Irish Potato Famine (1845-52) and 1848 German revolutions as push factors driving the visible spikes.,OK
Sectionalism and Reform (1790s-1850s),8.40,"Analyze the development of roads, canals, railroads, and steamboats throughout the U.S., including the Erie Canal and the National Road.","U.S. Railroad Mileage in Operation, 1830-1860",line,"Line chart of total miles of railroad in operation in the United States from 1830 to 1860, rising from a few dozen miles to about 30,000.","Historical Statistics of the United States, Series Q 321-328 (Railroad mileage operated)",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series Q 321-328.",SSP.01; SSP.02; SSP.06,Supports the transportation-revolution standard; can pair with canal mileage from the same volume.,OK
Expansion and Division of the Nation (1820s-1860s),8.49,"Analyze the concept of Manifest Destiny and its impact on the development of the nation, and describe the economic incentives for westward expansion.",Territorial Growth of the United States by Acquisition,bar,"Bar chart comparing land area in square miles added by each U.S. territorial acquisition, with the Louisiana Purchase and Mexican Cession largest.","Historical Statistics of the United States, Series J 1-16 (Area acquired by the United States, by accession — Louisiana Purchase, Florida/Adams-Onis, Texas Annexation, Oregon, Mexican Cession, Gadsden Purchase)",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work),Yes,"U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (Washington, DC: GPO, 1975), Series J 1-16.",SSP.01; SSP.02; SSP.06,"Quantifies Manifest Destiny; each bar maps to a later expansion standard (8.30, 8.32, 8.53, 8.54, 8.57).",OK
Expansion and Division of the Nation (1820s-1860s),8.50,"Explain the reasons for and the provisions of the Missouri Compromise (i.e., Compromise of 1820) and its impact on expansion.","Balance of Free and Slave States, 1789-1860",step,"Step chart tracking the running count of free versus slave states from 1789 to 1860, showing the deliberate one-for-one balance around the Missouri Compromise.",Dates and free/slave status of state admissions (public statutory record); cross-checked with Historical Statistics population-by-state series,https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (U.S. federal government work / public record),Yes,"Compiled from U.S. state admission acts (public record) and U.S. Bureau of the Census, Historical Statistics of the United States, Colonial Times to 1970 (1975).",SSP.01; SSP.02; SSP.04,Counts are derived from the public statutory record of admissions (not invented figures); mark 1820 Missouri/Maine and the paired admissions that followed.,OK
