Unit / Cluster,Standard,Standard Text,Chart Title,Chart Type,What the Chart Shows,Data Source,Data Source URL,Data Rights,Commercial OK?,Citation,Schedule F (SSP),Build Note,Guardrail Check
The Industrial Revolution (1750s-1900s),W.10,"Explain how the Agricultural Revolution, mechanization, and the ""enclosure movement"" led to rapid population growth, rural to urban migration, and the growth of major cities in Europe and North America.","Share of the World's Population Living in Urban Areas, 1500–Present",line,"Line chart showing the rising share of the global population living in cities from under 10 percent before 1800 to over half today, illustrating rural-to-urban migration during and after the Industrial Revolution.",Our World in Data (based on HYDE and UN World Urbanization Prospects),https://ourworldindata.org/grapher/share-of-population-urban,CC BY 4.0,Yes,"Our World in Data, 'Urbanization,' based on HYDE (History Database of the Global Environment) and UN World Urbanization Prospects. CC BY 4.0.",SSP.01; SSP.06,Directly supports the enclosure/urbanization claim in W.10; long time series lets students mark the industrial take-off.,OK
The Industrial Revolution (1750s-1900s),W.10,"Explain how the Agricultural Revolution, mechanization, and the ""enclosure movement"" led to rapid population growth, rural to urban migration, and the growth of major cities in Europe and North America.","World Population Growth, 10,000 BCE–Present",line,"Line chart of global population showing the sharp upward bend beginning around 1800, when agricultural and industrial change triggered rapid population growth.",Our World in Data (based on HYDE and UN World Population Prospects),https://ourworldindata.org/grapher/population,CC BY 4.0,Yes,"Our World in Data, 'Population Growth,' based on HYDE and UN World Population Prospects. CC BY 4.0.",SSP.01; SSP.04,Pair with urbanization chart; the 1800 inflection anchors the demographic transition in W.10.,OK
The Industrial Revolution (1750s-1900s),W.11,"Explain the geographic and economic reasons why the Industrial Revolution began in England, including: natural resources, entrepreneurship, labor, and access to capital.","GDP per Capita: United Kingdom vs. World, 1700–1900",line,"Line chart comparing real GDP per capita in Britain against the world average from 1700 to 1900, showing Britain pulling sharply ahead as industrialization begins.",Maddison Project Database 2023,https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2023,CC BY 4.0,Yes,"Bolt, Jutta and Jan Luiten van Zanden (2024), 'Maddison Project Database 2023,' Groningen Growth and Development Centre. CC BY 4.0.",SSP.03; SSP.04,Visualizes why the Industrial Revolution's economic effects appeared first in England (W.11).,OK
The Industrial Revolution (1750s-1900s),W.12,Analyze how geographic and cultural features were an advantage or disadvantage to the diffusion of the Industrial Revolution.,"GDP per Capita by World Region, 1820–2000",line,"Line chart of GDP per capita for Western Europe, North America, Asia, Africa, and Latin America from 1820 to 2000, showing the 'great divergence' as industrialization spread unevenly.",Maddison Project Database 2023 (via Our World in Data),https://ourworldindata.org/grapher/gdp-per-capita-maddison,CC BY 4.0,Yes,"Maddison Project Database 2023; Our World in Data, 'Economic Growth.' CC BY 4.0.",SSP.03; SSP.06,Shows the geographic/cultural unevenness of industrial diffusion in W.12.,OK
The Industrial Revolution (1750s-1900s),W.13,"Describe the geographic scale, trade routes, and conditions of the forced migration of Africans to the Western Hemisphere, including connections between slave labor and the growth of industrial economies.","Number of Enslaved Africans Transported Across the Atlantic by Year, 1500–1866",area,"Area chart showing the number of enslaved Africans embarked each year on transatlantic voyages, peaking in the late 18th century as plantation and industrial economies expanded.",Our World in Data (based on Slave Voyages / Trans-Atlantic Slave Trade Database),https://ourworldindata.org/grapher/number-of-slaves,CC BY 4.0,Yes,"Our World in Data, based on the Trans-Atlantic Slave Trade Database (SlaveVoyages.org). CC BY 4.0.",SSP.01; SSP.02,Quantifies the scale of the forced migration and its link to industrializing economies (W.13).,OK
The Industrial Revolution (1750s-1900s),W.14,"Explain how scientific and technological innovations (e.g., the steam engine, new textile technology, steel processing, medical advances, electricity, and new methods of transportation) led to massive social, economic, cultural, and demographic changes.","Coal Production in the United Kingdom, 1700–1970",line,"Line chart of British coal output rising steeply through the 19th century, the fuel behind steam engines, steel, and railways.",Our World in Data / Energy Institute Statistical Review,https://ourworldindata.org/grapher/coal-production-by-country,CC BY 4.0,Yes,"Our World in Data, 'Coal Production.' CC BY 4.0.",SSP.03; SSP.04,Ties fossil-fuel energy to the technological changes catalogued in W.14.,OK
The Industrial Revolution (1750s-1900s),W.15,"Evaluate the industrialization of Europe in terms of: Social benefits (e.g., increases in productivity and life expectancy); Social costs (e.g., harsh working and living conditions, pollution, child labor, and income inequality); Attempts to address these costs (e.g., political reform, urban planning, philanthropy, labor unionism, education reform, and public health and sanitation)",Life Expectancy in Europe Since 1770,line,"Line chart showing life expectancy in Europe rising from around 35 years before industrialization to over 75 today, reflecting the social benefits and later public-health reforms of industrial society.",Our World in Data (based on Riley 2005 and UN),https://ourworldindata.org/grapher/life-expectancy,CC BY 4.0,Yes,"Our World in Data, 'Life Expectancy,' based on Riley (2005) and UN estimates. CC BY 4.0.",SSP.03; SSP.04,Illustrates the 'social benefits' side of the W.15 cost-benefit evaluation.,OK
The Industrial Revolution (1750s-1900s),W.15,"Evaluate the industrialization of Europe in terms of: Social benefits (e.g., increases in productivity and life expectancy); Social costs (e.g., harsh working and living conditions, pollution, child labor, and income inequality); Attempts to address these costs (e.g., political reform, urban planning, philanthropy, labor unionism, education reform, and public health and sanitation)",Decline of Child Labor Over the Long Run,line,Line chart showing the share of children in employment falling over the 19th and 20th centuries as labor and education reforms took hold.,Our World in Data (historical child labor statistics),https://ourworldindata.org/grapher/share-of-children-in-employment,CC BY 4.0,Yes,"Our World in Data, 'Child Labor.' CC BY 4.0.",SSP.02; SSP.04,"Supports the 'social costs' and 'attempts to address them' (reform, education) portions of W.15.",OK
Nationalism and Imperialism (1850-1914),W.19,"Define imperialism, and analyze reasons for 19th century imperialism, including: competition between empires, cultural justifications, and the search for natural resources and new markets in response to rapid industrialization.","Share of the World Governed by Colonial Empires, 1500–2000",line,"Line chart showing the number of colonized territories worldwide rising to a peak in the early 20th century, the high tide of imperialism.","Our World in Data (based on Colonial Dates Dataset, COLDAT)",https://ourworldindata.org/grapher/number-of-colonies,CC BY 4.0,Yes,"Our World in Data, based on the Colonial Dates Dataset (COLDAT, Becker 2020). CC BY 4.0.",SSP.01; SSP.06,Quantifies the surge of 19th-century imperialism described in W.19.,OK
Nationalism and Imperialism (1850-1914),W.24,Explain the growing influence of western powers on China from the Opium Wars through the Boxer Rebellion.,"China's Share of World GDP, 1820–1950",line,Line chart showing China's share of world economic output declining steeply through the era of the Opium Wars and foreign intervention.,Maddison Project Database 2023,https://ourworldindata.org/grapher/share-of-world-gdp-over-the-long-run,CC BY 4.0,Yes,Maddison Project Database 2023; Our World in Data. CC BY 4.0.,SSP.03; SSP.04,Visualizes the economic decline accompanying Western influence over China (W.24); contrast later with W.85 rebound.,OK
Nationalism and Imperialism (1850-1914),W.26,"Analyze Japan's abandonment of isolationism, its embrace of technological and political changes, and its consequent rise as an imperial power in the late 19th century.","GDP per Capita in Japan After the Meiji Restoration, 1870–1940",line,Line chart showing Japan's GDP per capita climbing after 1868 as Meiji-era modernization and industrialization took hold.,Maddison Project Database 2023,https://ourworldindata.org/grapher/gdp-per-capita-maddison,CC BY 4.0,Yes,"Maddison Project Database 2023, Groningen Growth and Development Centre. CC BY 4.0.",SSP.03; SSP.04,Quantifies Japan's rise as an industrial/imperial power in W.26.,OK
Nationalism and Imperialism (1850-1914),W.28,Compare and contrast the impact of economic imperialism on Central and South America with the impact of imperialism on other parts of the world.,"GDP per Capita: Latin America vs. Western Europe and the U.S., 1820–1950",line,"Line chart comparing Latin American GDP per capita with Western Europe and the United States, showing a widening gap under economic imperialism.",Maddison Project Database 2023,https://ourworldindata.org/grapher/gdp-per-capita-maddison,CC BY 4.0,Yes,"Maddison Project Database 2023, Groningen Growth and Development Centre. CC BY 4.0.",SSP.03; SSP.06,Supports the comparative economic-impact analysis in W.28.,OK
World War I through the Depression (1910s-1930s),W.31,"Describe how trench warfare, the resulting stalemate, war of attrition, and advances in weaponry (e.g., chemical weapons, machine guns, submarines, tanks) affected the course and outcome of World War I.",Military Deaths in World War I by Country,bar,"Bar chart ranking World War I military deaths by country, showing the enormous human cost of trench warfare and attrition.",Our World in Data (based on Correlates of War / historical casualty estimates),https://ourworldindata.org/grapher/deaths-in-world-war-one,CC BY 4.0,Yes,"Our World in Data, 'War and Peace.' CC BY 4.0.",SSP.01; SSP.02,Puts the lethality of trench warfare and new weaponry (W.31) into numbers.,OK
World War I through the Depression (1910s-1930s),W.35,"Describe the effects of World War I, including the significance of: Armenian Genocide; Collapse of major empires; Economic losses; Environmental changes; Loss of human life; Movement of populations; Spread of disease",Estimated Global Deaths from the 1918 Influenza Pandemic,bar,"Bar chart of estimated deaths by world region during the 1918 influenza pandemic, illustrating the 'spread of disease' effect of World War I.",Our World in Data (based on Spreeuwenberg et al. and historical estimates),https://ourworldindata.org/spanish-flu-largest-influenza-pandemic-in-history,CC BY 4.0,Yes,"Our World in Data, 'The Spanish Flu.' CC BY 4.0.",SSP.02; SSP.03,Supports the 'spread of disease' and loss-of-life effects listed in W.35.,OK
World War I through the Depression (1910s-1930s),W.40,"Describe the collapse of international economies in 1929 that led to the Great Depression, including the significance of: Overproduction; Unemployment; Inflation; Restrictive trade policies; Post-war economic relationships between the U.S. and Europe","U.S. Unemployment Rate During the Great Depression, 1929–1941",line,Line chart showing U.S. unemployment spiking to roughly one-quarter of the workforce by 1933 before recovering through the 1930s.,FRED / NBER historical macroeconomic series,https://fred.stlouisfed.org/series/M0892AUSM156SNBR,Public Domain (U.S. Government / Federal Reserve data),Yes,"Federal Reserve Bank of St. Louis (FRED), U.S. unemployment rate, NBER historical series. Public domain.",SSP.01; SSP.04,Directly supports the 'unemployment' element of W.40.,OK
