Unit / Cluster,Standard,Standard Text,Chart Title,Chart Type,What the Chart Shows,Data Source,Data Source URL,Data Rights,Commercial OK?,Citation,Schedule F (SSP),Build Note,Guardrail Check
Tennessee’s Coming of Age (1796-1812),TN.14,"Analyze the growth of Middle Tennessee in the early 1800s in power and influence, including the relocation of the capital.","Tennessee Population Growth by Decade, 1790-1860",line,Line chart showing Tennessee's total population rising each decade from the first federal census in 1790 through 1860.,"U.S. Decennial Census, total resident population of Tennessee, 1790-1860 (Campbell Gibson & Kay Jung, 'Historical Census Statistics on Population Totals')",https://www.census.gov/library/working-papers/2002/dec/working-paper-56.html,Public domain (work of the U.S. federal government),Yes,"U.S. Census Bureau, Historical Census Statistics on Population Totals by Race, 1790-1990, and by Hispanic Origin, 1970-1990, for the United States, Regions, Divisions, and States (Working Paper No. 56).",SSP.01; SSP.02,Supports the 'coming of age' theme and the rise of Middle Tennessee's influence; teachers can pair with the decade-by-decade shift of population weight toward the Middle Grand Division (which drove the capital's relocation to Nashville).,OK
Tennessee’s Coming of Age (1796-1812),TN.15,"Describe the distribution of slaves between the three grand divisions of Tennessee, the lives of free blacks and slaves, and the role of Tennesseans in the early abolition movement (e.g., Elihu Embree).","Enslaved and Free Black Population of Tennessee, 1790-1820",grouped_bar,Grouped bar chart comparing the number of enslaved people and free Black Tennesseans at each early census from 1790 through 1820.,"U.S. Decennial Census population schedules for Tennessee (Southwest Territory 1790/95, then 1800, 1810, 1820), counts of enslaved persons and free persons of color",https://www.census.gov/library/publications/decennial.html,Public domain (work of the U.S. federal government),Yes,"U.S. Census Bureau, Return of the Whole Number of Persons... (First through Fourth Censuses, 1790-1820), Tennessee tables.",SSP.01; SSP.02,Illustrates the small early free-Black population against a rapidly growing enslaved population; pairs with the standard's focus on the lives of free Blacks and enslaved people and the early abolition movement.,OK
Tennessee’s Coming of Age (1796-1812),TN.20,"Describe the significance of the Mississippi River, the Jackson Purchase, and the introduction of cotton in the rapid growth of Memphis and West Tennessee.","The Rise of Memphis: Population Growth, 1820-1900",line,Line chart tracing Memphis's steep population climb from a small river town in 1820 to a major city by 1900.,"U.S. Census Bureau population of the 100 largest urban places / decennial census municipal population for Memphis, TN, 1820-1900",https://www.census.gov/library/working-papers/1998/demo/pop-twps0027.html,Public domain (work of the U.S. federal government),Yes,"Campbell Gibson, Population of the 100 Largest Cities and Other Urban Places in the United States: 1790 to 1990 (U.S. Census Bureau Working Paper No. 27, 1998).",SSP.01; SSP.02,"Connects the Jackson Purchase, the Mississippi River, and the cotton trade to Memphis's explosive growth; the visible dip/plateau around 1880 also foreshadows the yellow fever epidemic (TN.41).",OK
Tennessee’s Golden Age (1800-1860),TN.21,"Explain the importance of transportation, technology, and geography in Tennessee’s growing involvement in the national economy after the War of 1812, including the significance of: Cash crops (e.g., cotton, tobacco); Natchez Trace; Road improvements; Steamboats","Tennessee Cash Crops: Cotton and Tobacco Production, 1840-1860",grouped_bar,"Grouped bar chart comparing Tennessee's cotton and tobacco output across the 1840, 1850, and 1860 agricultural censuses.","U.S. Census of Agriculture, Tennessee cotton (bales) and tobacco (pounds) output, 1840, 1850, 1860",https://agcensus.library.cornell.edu/census_parts/,Public domain (work of the U.S. federal government),Yes,"U.S. Census Office, Agriculture of the United States in 1860 (and 1850, 1840 census compendia), Tennessee state tables.",SSP.01; SSP.02,"Directly supports the standard's cash-crop focus and shows how improved transportation (steamboats, roads, the Natchez Trace) fed rising commodity output before the Civil War.",OK
Tennessee’s Golden Age (1800-1860),TN.26,"Describe the development of slavery in Tennessee from 1800 to 1860, including the distribution of slaves and conflicting attitudes among the three grand divisions.","Growth of Slavery in Tennessee: Enslaved Population by Decade, 1800-1860",area,Area chart showing the steady rise in Tennessee's enslaved population from 1800 through its peak in 1860.,"U.S. Decennial Census, enslaved population of Tennessee, 1800-1860",https://www.census.gov/library/publications/1864/dec/1860a.html,Public domain (work of the U.S. federal government),Yes,"U.S. Census Office, Population of the United States in 1860 (and prior decennial compendia), Tennessee slave population tables.",SSP.01; SSP.02,Core to the standard's focus on 'the development of slavery in Tennessee from 1800 to 1860'; the sharp climb ties to cotton expansion in West Tennessee.,OK
Tennessee: A Time of Troubles (1860-1865),TN.28,Explain the causes of the Civil War and how geographic and political divisions impacted Tennessee’s secession.,"Enslaved Share of Population by Grand Division, 1860",bar,"Bar chart comparing the enslaved population as a percentage of total population in East, Middle, and West Tennessee in 1860.","U.S. 1860 Census county-level population, aggregated to East, Middle, and West Tennessee grand divisions (enslaved persons as a share of total population)",https://www.census.gov/library/publications/1864/dec/1860a.html,Public domain (work of the U.S. federal government),Yes,"U.S. Census Office, Population of the United States in 1860, Tennessee county tables (grouped by grand division).",SSP.01; SSP.04; SSP.06,"Explains the geographic-political divide behind Tennessee's secession vote: Unionist East Tennessee had few enslaved people, while cotton-heavy West Tennessee had a high enslaved share. Requires grouping counties by division.",OK
Tennessee: A Time of Troubles (1860-1865),TN.29,"Describe Tennessee’s role in the Civil War, including: Sieges of Fort Henry and Fort Donelson; Battle of Shiloh; Battle of Stones River; Chattanooga Campaign; Johnsonville Campaign; Battle of Franklin; Battle of Nashville","Major Civil War Engagements in Tennessee by Year, 1861-1865",bar,Bar chart showing the number of significant Civil War engagements fought in Tennessee in each year from 1861 to 1865.,"NPS Civil War Sites Advisory Commission (CWSAC) battle summaries, engagements located in Tennessee, counted by year",https://www.nps.gov/subjects/civilwar/battle-summaries.htm,Public domain (work of the U.S. federal government),Yes,"National Park Service, American Battlefield Protection Program, CWSAC Report on the Nation's Civil War Battlefields, Tennessee battle summaries.",SSP.01; SSP.06,"Quantifies why Tennessee saw more Civil War fighting than almost any state except Virginia; the standard lists specific battles (Fort Donelson, Shiloh, Stones River, Franklin, Nashville) that can be mapped to the yearly counts.",OK
Tennessee during Reconstruction (1865-1880),TN.31,"Describe how the Civil War impacted various populations in Tennessee (e.g., African Americans, American Indians, and women).","Tennessee Population by Race, 1860 vs. 1870",grouped_bar,"Grouped bar chart comparing Tennessee's white and Black populations in 1860 and 1870, before and after emancipation.","U.S. Decennial Census, Tennessee population by race (white and Black/'colored'), 1860 and 1870",https://www.census.gov/library/publications/1872/dec/1870a.html,Public domain (work of the U.S. federal government),Yes,"U.S. Census Office, The Statistics of the Population of the United States (Ninth Census, 1870), Tennessee tables; Population of the United States in 1860.",SSP.01; SSP.02,The 1870 census is the first to count formerly enslaved people as free citizens; comparing 1860 and 1870 shows the demographic transformation the Civil War brought to Tennessee's African American population.,OK
Tennessee in the New South (1880-1890s),TN.39,Explain developments in Tennessee’s farming during the late 19th century as a result of industrialization.,"Tennessee Farms after the Civil War: Number of Farms and Average Size, 1860-1900",combo_line,Combination chart showing Tennessee's rising number of farms alongside falling average farm size from 1860 to 1900.,"U.S. Census of Agriculture, Tennessee number of farms and average farm acreage, 1860, 1870, 1880, 1890, 1900",https://agcensus.library.cornell.edu/census_parts/,Public domain (work of the U.S. federal government),Yes,"U.S. Census Office, Census of Agriculture reports for Tennessee, 1860-1900.",SSP.01; SSP.04,"The rising farm count with shrinking average size documents the spread of sharecropping and tenant farming after the war, central to New South farming developments.",OK
Tennessee in the New South (1880-1890s),TN.39,Explain developments in Tennessee’s farming during the late 19th century as a result of industrialization.,"Railroad Expansion in Tennessee: Track Mileage, 1850-1900",line,Line chart showing the growth of railroad track mileage in Tennessee from mid-century through 1900.,"Historical Statistics of the United States, railroad mileage operated (state/regional series), with Census railroad statistics for Tennessee, 1850-1900",https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,Public domain (work of the U.S. federal government),Yes,"U.S. Census Bureau, Historical Statistics of the United States, Colonial Times to 1970 (Bicentennial Edition, 1975), railroad mileage series.",SSP.01; SSP.06,Railroad expansion is the engine of New South industrialization that reshaped Tennessee farming and connected interior counties to markets.,OK
