Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
High School,GC.01,"Examine the influences of leading European thinkers (e.g., John Locke, Charles-Louis Montesquieu, Thomas Hobbes) and other roots of American government (e.g., Greek democracy, Roman republic, Magna Carta).",Foundations of Constitutional Government,Yes,Portrait of John Locke,portrait,Godfrey Kneller,1697,Wikimedia Commons,Public domain — artist d.1723 (PD-old/PD-US),Yes,https://commons.wikimedia.org/wiki/File:Godfrey_Kneller_-_Portrait_of_John_Locke_(Hermitage).jpg,,"Godfrey Kneller. ""Portrait of John Locke."" 1697. Wikimedia Commons. https://commons.wikimedia.org/wiki/File:Godfrey_Kneller_-_Portrait_of_John_Locke_(Hermitage).jpg","Portrait: Portrait of John Locke (Godfrey Kneller, 1697).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.02,Examine the Declaration of Independence and American grievances against British rule.,Foundations of Constitutional Government,,U.S. Declaration of Independence (engrossed),document,2nd Continental Congress,1776,Wikimedia Commons,"Public domain — U.S. gov document, 1776",Yes,https://commons.wikimedia.org/wiki/File:United_States_Declaration_of_Independence.jpg,,"2nd Continental Congress. ""U.S. Declaration of Independence (engrossed)."" 1776. Wikimedia Commons. https://commons.wikimedia.org/wiki/File:United_States_Declaration_of_Independence.jpg","Document: U.S. Declaration of Independence (engrossed) (2nd Continental Congress, 1776).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.03,Identify the strengths and weaknesses of the Articles of Confederation.,Foundations of Constitutional Government,,"Join, or Die",cartoon,Benjamin Franklin,1754,Library of Congress,Public domain — published 1754 (pre-1929),Yes,https://www.loc.gov/item/2002695523/,,"Benjamin Franklin. ""Join, or Die."" 1754. Library of Congress. https://www.loc.gov/item/2002695523/","Cartoon: Join, or Die (Benjamin Franklin, 1754).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.04,"Discuss the Constitutional Convention of 1787, including the Great Compromise and the ensuing debate over ratification between the Federalists and Anti-Federalists.",Foundations of Constitutional Government,,The Looking Glass for 1787,cartoon,Amos Doolittle,1787,Library of Congress,Public domain — 1787 engraving (pre-1929),Yes,https://www.loc.gov/item/2008661778/,,"Amos Doolittle. ""The Looking Glass for 1787."" 1787. Library of Congress. https://www.loc.gov/item/2008661778/","Cartoon: The Looking Glass for 1787 (Amos Doolittle, 1787).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.05,Describe the purposes and functions of government as outlined in the Preamble of the Constitution.,Foundations of Constitutional Government,,"U.S. Constitution, Page 1 (We the People)",document,Constitutional Convention,1787,Wikimedia Commons,"Public domain — U.S. gov document, 1787",Yes,https://commons.wikimedia.org/wiki/File:Constitution_of_the_United_States_-_DPLA_-_9ca804144bd5965e992ae3528bc3c6a3_(page_1).jpg,,"Constitutional Convention. ""U.S. Constitution, Page 1 (We the People)."" 1787. Wikimedia Commons. https://commons.wikimedia.org/wiki/File:Constitution_of_the_United_States_-_DPLA_-_9ca804144bd5965e992ae3528bc3c6a3_(page_1).jpg","Document: U.S. Constitution, Page 1 (We the People) (Constitutional Convention, 1787).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.06,"Describe limited government within the Constitution, including: Checks and balances; Civilian control of the military; Federalism; Judicial review; Popular sovereignty; Rule of law; Separation of powers",Foundations of Constitutional Government,,"The Federalist (1st ed., 1788, Vol. I) — title page",document,"Hamilton, Madison, Jay",1788,Wikimedia Commons,Public domain — published 1788 (pre-1929),Yes,"https://commons.wikimedia.org/wiki/File:The_Federalist_(1st_ed,_1788,_vol_I,_title_page).jpg",,"Hamilton, Madison, Jay. ""The Federalist (1st ed., 1788, Vol. I) — title page."" 1788. Wikimedia Commons. https://commons.wikimedia.org/wiki/File:The_Federalist_(1st_ed,_1788,_vol_I,_title_page).jpg","Document: The Federalist (1st ed., 1788, Vol. I) — title page (Hamilton, Madison, Jay, 1788).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.07,Describe the structure of the Constitution and the process to amend it.,Foundations of Constitutional Government,,The Federal Pillars (Grand Federal Edifice),cartoon,Massachusetts Centinel,1788,Library of Congress,Public domain — published 1788 (pre-1929),Yes,https://www.loc.gov/item/2004676796/,,"Massachusetts Centinel. ""The Federal Pillars (Grand Federal Edifice)."" 1788. Library of Congress. https://www.loc.gov/item/2004676796/","Cartoon: The Federal Pillars (Grand Federal Edifice) (Massachusetts Centinel, 1788).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.08,Analyze how the Bill of Rights limits the powers of the government and ensures individual rights. (T.C.A. § 49-6-1028),Foundations of Constitutional Government,,U.S. Bill of Rights (engrossed),document,1st U.S. Congress,1789,Wikimedia Commons,"Public domain — U.S. gov document, 1789",Yes,https://commons.wikimedia.org/wiki/File:Bill_of_Rights_Pg1of1_AC.jpg,,"1st U.S. Congress. ""U.S. Bill of Rights (engrossed)."" 1789. Wikimedia Commons. https://commons.wikimedia.org/wiki/File:Bill_of_Rights_Pg1of1_AC.jpg","Document: U.S. Bill of Rights (engrossed) (1st U.S. Congress, 1789).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.09,"Define the concepts of democracy and republic, and examine the relationship between the two.",Foundations of Constitutional Government,,Great Seal of the United States (obverse),emblem,Thomson/Barton design,1782,Wikimedia Commons,Public domain — U.S. federal government work,Yes,https://commons.wikimedia.org/wiki/File:Great_Seal_of_the_United_States_(obverse).svg,,"Thomson/Barton design. ""Great Seal of the United States (obverse)."" 1782. Wikimedia Commons. https://commons.wikimedia.org/wiki/File:Great_Seal_of_the_United_States_(obverse).svg","Emblem: Great Seal of the United States (obverse) (Thomson/Barton design, 1782).",Yes,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
High School,GC.10,"Analyze Article I and the 17th Amendment of the Constitution as they relate to the legislative branch, including: eligibility for office, roles, length of terms, and election to office for representatives and senators, respectively.",The Legislative Branch,,17th Amendment — Direct Election of Senators (1913),document,U.S. Congress (NARA),1913,Wikimedia Commons,Public domain — U.S. federal record (NARA),Yes,https://commons.wikimedia.org/wiki/File:17th_Amendment_to_the_U.S._Constitution-_Direct_Election_of_U.S._Senators_(1913)_(5553720882).jpg,,"U.S. Congress (NARA). ""17th Amendment — Direct Election of Senators (1913)."" 1913. Wikimedia Commons. https://commons.wikimedia.org/wiki/File:17th_Amendment_to_the_U.S._Constitution-_Direct_Election_of_U.S._Senators_(1913)_(5553720882).jpg","Document: 17th Amendment — Direct Election of Senators (1913) (U.S. Congress (NARA), 1913).",NO,SSP.01; SSP.02,VERIFIED (Wikimedia PD — prefer original)
