course,unit,standard,asset_type,source_page_url,direct_download_url,target_filename,drive_subfolder,title,creator_or_institution,date,license,attribution,repository,link_type,status
World History,Age of Revolution (1750-1850),W.01,Painting/engraving,https://www.metmuseum.org/search-results?q=Louis+XIV+Rigaud,,W.01_portrait_of_louis_xiv_the_sun_king.{original_extension},World History/Age of Revolution (1750-1850)/W.01,"Portrait of Louis XIV (""the Sun King"")",after Hyacinthe Rigaud,c. 1701,Public domain — published c. 1701 (pre-1929),"Portrait of Louis XIV, after Hyacinthe Rigaud, c. 1701. The Metropolitan Museum of Art.",The Metropolitan Museum of Art,search,PENDING
World History,Age of Revolution (1750-1850),W.01,Print/engraving,https://www.rijksmuseum.nl/en/search?q=Versailles+palace,,W.01_view_of_the_palace_and_gardens_of_versailles.{original_extension},World History/Age of Revolution (1750-1850)/W.01,View of the Palace and Gardens of Versailles,various (17th-18th c.),c. 1680-1720,CC0 / open access (museum public-domain designation),"View of the Palace of Versailles, engraving, late 17th c. Rijksmuseum (public domain).",Rijksmuseum,search,PENDING
World History,Age of Revolution (1750-1850),W.01,Painting/print,https://www.rijksmuseum.nl/en/search?q=Peter+the+Great+tsar,,W.01_portrait_of_peter_the_great_of_russia.{original_extension},World History/Age of Revolution (1750-1850)/W.01,Portrait of Peter the Great of Russia,various,early 18th c.,CC0 / open access (museum public-domain designation),"Portrait of Peter the Great, early 18th c. Rijksmuseum (public domain).",Rijksmuseum,search,PENDING
World History,Age of Revolution (1750-1850),W.02,Legal document (text),https://avalon.law.yale.edu/medieval/magna.asp,,W.02_magna_carta_1215.{original_extension},World History/Age of Revolution (1750-1850)/W.02,Magna Carta (1215),King John / barons of England,1215,"Public domain — official document text (Magna Carta, 1215)","Magna Carta, 1215. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Age of Revolution (1750-1850),W.02,Legal document (text),https://avalon.law.yale.edu/17th_century/england.asp,,W.02_english_bill_of_rights_1689.{original_extension},World History/Age of Revolution (1750-1850)/W.02,English Bill of Rights (1689),Parliament of England,1689,Public domain — official document text (1689),"English Bill of Rights, 1689. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Age of Revolution (1750-1850),W.02,Manuscript / facsimile,https://www.loc.gov/search/?q=Magna+Carta,,W.02_magna_carta_original_engrossment.{original_extension},World History/Age of Revolution (1750-1850)/W.02,Magna Carta (original engrossment),medieval scribe,1215-1297,"Public domain — medieval manuscript, pre-1929",Magna Carta facsimile. Library of Congress.,Library of Congress,search,PENDING
World History,Age of Revolution (1750-1850),W.03,Book (text),https://catalog.hathitrust.org/Search/Home?lookfor=Locke+Two+Treatises+of+Government&type=all,,W.03_two_treatises_of_government.{original_extension},World History/Age of Revolution (1750-1850)/W.03,Two Treatises of Government,John Locke,1689,Public domain (published pre-1929),"John Locke, Two Treatises of Government (1689). HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Age of Revolution (1750-1850),W.03,Book / engraving,https://catalog.hathitrust.org/Search/Home?lookfor=Hobbes+Leviathan+1651&type=all,,W.03_leviathan_frontispiece_and_text.{original_extension},World History/Age of Revolution (1750-1850)/W.03,Leviathan (frontispiece and text),Thomas Hobbes,1651,Public domain (published pre-1929),"Thomas Hobbes, Leviathan (1651). HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Age of Revolution (1750-1850),W.03,Book (text),https://catalog.hathitrust.org/Search/Home?lookfor=Rousseau+Social+Contract+Montesquieu+Spirit+of+Laws&type=all,,W.03_the_social_contract_the_spirit_of_the_laws.{original_extension},World History/Age of Revolution (1750-1850)/W.03,The Social Contract / The Spirit of the Laws,Rousseau; Montesquieu,1748-1762,Public domain (published pre-1929),"Rousseau, The Social Contract (1762); Montesquieu, The Spirit of the Laws (1748). HathiTrust.",HathiTrust Digital Library,search,PENDING
World History,Age of Revolution (1750-1850),W.04,Print/engraving,https://www.rijksmuseum.nl/en/search?q=execution+Charles+I+1649,,W.04_the_execution_of_king_charles_i_1649.{original_extension},World History/Age of Revolution (1750-1850)/W.04,The Execution of King Charles I (1649),contemporary Dutch/English,1649,CC0 / open access (museum public-domain designation),"Execution of Charles I, engraving, 1649. Rijksmuseum (public domain).",Rijksmuseum,search,PENDING
