row_id,standard,title,repository,status,message,resolved_url,local_path,sha256,timestamp
1,W.01,View of the Palace and Gardens of Versailles,Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",,,,2026-08-02T20:00:16.101083Z
2,W.01,Portrait of Peter the Great of Russia,Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",,,,2026-08-02T20:00:16.108493Z
4,W.02,English Bill of Rights (1689),"Avalon Project, Yale Law School",SUCCESS,"Downloaded + validated (22057 bytes, html).",https://avalon.law.yale.edu/17th_century/england.asp,/home/user/workspace/primary_source_pipeline/assets/W.02/W.02_english_bill_of_rights_1689.html,4738367d8a81826f1eb24377deb0f5d80a9c96351087b09a3fe3b384ec304423,2026-08-02T20:00:16.246052Z
6,W.03,Two Treatises of Government,HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",,,,2026-08-02T20:00:16.247552Z
7,W.03,Leviathan (frontispiece and text),HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",,,,2026-08-02T20:00:16.248781Z
8,W.03,The Social Contract / The Spirit of the Laws,HathiTrust Digital Library,ACCESS_BLOCKED,"HathiTrust catalog and full-text search endpoints are behind an interactive Cloudflare bot-challenge (verified via direct HTTP probe returning a JS challenge page), which blocks deterministic automated resolution and full-volume download without a browser session/credentials.",,,,2026-08-02T20:00:16.250317Z
9,W.04,The Execution of King Charles I (1649),Rijksmuseum,ACCESS_BLOCKED,"Rijksmuseum Collection API requires a registered Rijksstudio API key (none available in this environment); the public web search UI is JavaScript-rendered and its search endpoint is disallowed by rijksmuseum.nl/robots.txt for automated/API access, so the exact object cannot be deterministically resolved without credentials.",,,,2026-08-02T20:00:16.251593Z
3,W.02,Magna Carta (1215),"Avalon Project, Yale Law School",SUCCESS,"Downloaded + validated (35612 bytes, html).",https://avalon.law.yale.edu/medieval/magna.asp,/home/user/workspace/primary_source_pipeline/assets/W.02/W.02_magna_carta_1215.html,3f56ff98d6b827c81706d2a6ebeb19408e5a2f8bad2a242e06cdc5857541f9fa,2026-08-02T20:00:16.257827Z
11,W.05,"""A faut esperer q'eu jeu la finira bentot"" (The Third Estate)",Library of Congress,SUCCESS,"Downloaded + validated (231642 bytes, jpg, 778x1024).",https://tile.loc.gov/storage-services/service/pnp/ppmsca/05800/05897v.jpg#h=1024&w=778,/home/user/workspace/primary_source_pipeline/assets/W.05/W.05_a_faut_esperer_q_eu_jeu_la_finira_bentot_the_third_estate.jpg,8289be855115e0c83525053ce13960bcce78552fa08243d63cc54a2670b43baa,2026-08-02T20:00:16.504716Z
12,W.05,Declaration of the Rights of Man and of the Citizen (1789),"Avalon Project, Yale Law School",SUCCESS,"Downloaded + validated (9934 bytes, html).",https://avalon.law.yale.edu/18th_century/rightsof.asp,/home/user/workspace/primary_source_pipeline/assets/W.05/W.05_declaration_of_the_rights_of_man_and_of_the_citizen_1789.html,3bfed181297e3677aa3374b532365d77fed5e9172f6bc4a81c384f0208a7692d,2026-08-02T20:00:16.627818Z
