Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
High School,US.01,Explain how the Homestead Act and the Transcontinental Railroad impacted the settlement of the West.,The Rise of Industrialization (1877-1900),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.02,"Examine federal policies toward American Indians, including: the movement to reservations, assimilation, boarding schools, and the Dawes Act.",The Rise of Industrialization (1877-1900),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.03,"Explain the impact of the Compromise of 1877, including: Jim Crow laws, lynching, disenfranchisement methods, the efforts of Benjamin “Pap” Singleton and the Exodusters, and the Plessy v. Ferguson decision. (T.C.A. § 49-6-1006)",The Rise of Industrialization (1877-1900),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.04,"Analyze the causes and consequences of Gilded Age politics and economics as well as the significance of the rise of political machines, major scandals, civil service reform, and the economic difference between farmers, wage earners, and industrial capitalists, including the following:
• Boss Tweed
• Thomas Nast
• Credit Mobilier
• Spoils system and President James A. Garfield’s assassination
• Pendleton Act
• Interstate Commerce Act",The Rise of Industrialization (1877-1900),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.05,"Describe the changes in American life that resulted from the inventions and innovations of business leaders and entrepreneurs of the period, including the significance of:
• Alexander Graham Bell
• Henry Bessemer
• Andrew Carnegie
• Thomas Edison
• J.P. Morgan
• John D. Rockefeller
• Nikola Tesla
• Cornelius Vanderbilt
• Madam C.J. Walker",The Rise of Industrialization (1877-1900),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.06,"Locate the following major industrial centers, and describe how industrialization influenced the movement of people from rural to urban areas:
• Boston
• Chicago
• New York City
• Pittsburgh
• San Francisco",The Rise of Industrialization (1877-1900),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.07,"Describe the differences between “old” and “new” immigrants, analyze the assimilation process for “new” immigrants, and determine the impacts of increased migration on American society, including:
• Angel Island
• Ellis Island
• Push and pull factors
• Ethnic clusters
• Jane Addams
• Competition for jobs
• Rise of nativism
• Jacob Riis
• Chinese Exclusion Act and Gentleman’s Agreement",The Rise of Industrialization (1877-1900),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.08,Explain the concepts of social Darwinism and the Social Gospel.,The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.09,Compare and contrast the ideas and philosophies of Booker T. Washington and W.E.B. Du Bois. (T.C.A. § 49-6-1006),The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.10,"Explain the characteristics and impact of the Granger movement and populism, emphasizing the conflicts between farmers and the railroads.",The Progressive Era (1890-1920),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.11,"Explain the rise of the labor movement, union tactics (e.g., strikes), the role of leaders (e.g., Eugene Debs and Samuel Gompers), the unjust use of prison labor (e.g., Coal Creek labor saga), and the responses of management and government.",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.12,"Describe the rise of trusts and monopolies, their impact on consumers and workers, and the government’s response, including the Sherman Antitrust Act of 1890 and the Clayton Antitrust Act of 1914.",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.13,"Describe working conditions in industries during this era, including the use of labor by women and children.",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.14,"Explain the roles played by muckrakers and progressive idealists, including:
• Robert M. La Follette, Sr.
• President Theodore Roosevelt
• Upton Sinclair
• Lincoln Steffens
• Ida Tarbell",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.15,"Analyze the goals and achievements of the Progressive movement, including:
• Adoption of the initiative, referendum, and recall
• Adoption of the primary system
• 16th Amendment
• 17th Amendment
• 18th Amendment",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.16,"Analyze the significant progressive achievements during President Theodore Roosevelt’s administration, including:
• Square Deal
• “Trust-busting”
• Pure Food and Drug Act
• Meat Inspection Act
• Support for conservation",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.17,"Analyze the significant progressive achievements during President Woodrow Wilson’s administration, including: the New Freedom, the Federal Reserve Act, and the creation of the National Park Service.",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.18,"Describe the movement to achieve suffrage for women, including: the significance of leaders such as Carrie Chapman Catt, Anne Dallas Dudley, and Alice Paul, the activities of suffragettes, the passage of the 19th Amendment, and the role of Tennessee as the “Perfect 36.”",The Progressive Era (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.19,"Assess the causes of American imperialism in the late 19th and early 20th centuries, including: the desire for raw materials and new markets, the desire to spread American democratic and moral ideals, and yellow journalism.",Imperialism and World War I (1890-1920),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.20,Compare and contrast the arguments of interventionists and non-interventionists of the period.,Imperialism and World War I (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.21,"Describe the causes of the Spanish-American War and the outcomes of American imperialism, including:
• Annexation of Hawaii
• Philippine Insurrection
• Roosevelt Corollary
• Panama Canal
• Access to Cuba",Imperialism and World War I (1890-1920),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.22,"Compare and contrast President Theodore Roosevelt’s Big Stick diplomacy, President William Howard Taft’s Dollar Diplomacy, and President Woodrow Wilson’s Moral Diplomacy.",Imperialism and World War I (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.23,Explain the causes of World War I and the reasons for the initial declaration of U.S. neutrality.,Imperialism and World War I (1890-1920),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.24,"Explain the reasons for American entry into World War I, including: the use of unrestricted submarine warfare, the Zimmerman Telegram, the defense of democracy, and economic motivations.",Imperialism and World War I (1890-1920),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.25,"Identify and explain the impact of the following on World War I (T.C.A. § 49-6-1006):
• Trench warfare
• Use of new weapons and technology
• Harlem Hell Fighters
• Herbert Hoover
• John J. Pershing
• Alvin C. York",Imperialism and World War I (1890-1920),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.26,"Analyze the political, economic, and social ramifications of World War I on the home front, including:
• Role played by women and minorities
• Voluntary rationing
• Committee on Public Information
• Opposition by conscientious objectors
• Schenck v. United States decision",Imperialism and World War I (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.27,"Analyze the significance of President Woodrow Wilson’s Fourteen Points, the causes and effects of the U.S. rejection of the League of Nations, and the subsequent impact on world politics.",Imperialism and World War I (1890-1920),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
High School,US.28,Analyze the impact of the Great Migration of African Americans that began in the early 1900s from the rural South to the industrial regions of the Northeast and Midwest. (T.C.A. § 49-6-1006),The 1920s (1920-1929),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
