Unit / Cluster,Standard,Standard Text,Cartoon Title,Type,Creator,Year,Repository,Rights / License,Commercial OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Tennessee’s Coming of Age (1796-1812),TN.19,"Describe Tennessee’s involvement in the War of 1812 (e.g., Tennessee volunteers, Felix Grundy, Andrew Jackson), and analyze the role of American Indians during the war.",A scene on the frontier as practiced by the humane British and their worthy allies,cartoon,William Charles,1812,"Library of Congress, Prints & Photographs Division",No known restrictions on publication; public domain by age (published 1812).,Yes,https://www.loc.gov/pictures/search/?q=A%20scene%20on%20the%20frontier%20as%20practiced%20by%20the%20humane%20British%20and%20their%20worthy%20allies&co=pga,loc_search,"William Charles, ""A scene on the frontier as practiced by the humane British and their worthy allies,"" etching, Philadelphia, 1812. Library of Congress, Prints & Photographs Division. (Confirm exact item URL/reproduction number.)","An 1812 War of 1812 cartoon showing a British officer purchasing American scalps from Native allies, captioned to attack the British practice of paying for scalps on the frontier.",NO,SSP.01; SSP.02,"National PD cartoon touching the War of 1812 and the role of American Indians (relevant to TN volunteers/Jackson content); use with note that it is anti-British propaganda depicting alliances, not a TN-specific scene.",OK
Tennessee’s Golden Age (1800-1860),TN.22,Describe the contributions of Presidents Andrew Jackson and James K. Polk to Tennessee and American history.,King Andrew the First,cartoon,Unknown (anti-Jackson Whig lithograph),1833,"Library of Congress, Prints & Photographs Division",No known restrictions on publication; public domain by age (published c. 1833).,Yes,https://www.loc.gov/pictures/search/?q=King%20Andrew%20the%20First&co=pga,loc_search,"""King Andrew the First,"" hand-colored lithograph, c. 1833. Library of Congress, Prints & Photographs Division, reproduction no. LC-USZ62-1562 (confirm exact item URL).","Circa-1833 cartoon depicting President Andrew Jackson as a king in royal robes, holding a veto and trampling the Constitution, attacking his executive power during the Bank War.",NO,SSP.01; SSP.02,Classic PD cartoon of Tennessean Andrew Jackson; directly supports the standard's focus on Jackson's contributions and the political controversy surrounding his presidency.,OK
Tennessee: A Time of Troubles (1860-1865),TN.28,Explain the causes of the Civil War and how geographic and political divisions impacted Tennessee’s secession.,Dividing the National Map,cartoon,Published by H. Bucholzer / attributed period lithograph,1860,"Library of Congress, Prints & Photographs Division",No known restrictions on publication; public domain by age (published 1860).,Yes,https://www.loc.gov/pictures/search/?q=Dividing%20the%20National%20Map&co=pga,loc_search,"""Dividing the National Map,"" lithograph, 1860. Library of Congress, Prints & Photographs Division. (Confirm exact item URL/reproduction number.)","An 1860 cartoon showing the sectional candidates of the 1860 election tearing a map of the United States apart, dramatizing the political divisions that led to secession.",NO,SSP.01; SSP.02,"National PD secession-crisis cartoon supporting the standard's focus on the political divisions leading to Tennessee's secession; if this item is not confirmed, substitute another 1860-61 LOC secession cartoon (e.g., 'The Secession Movement,' Currier & Ives).",OK
Tennessee during Reconstruction (1865-1880),TN.31,"Describe how the Civil War impacted various populations in Tennessee (e.g., African Americans, American Indians, and women).",Emancipation,cartoon,Thomas Nast,1865,"Library of Congress, Prints & Photographs Division",No known restrictions on publication; public domain by age (published 1865).,Yes,https://www.loc.gov/pictures/search/?q=Nast%20Emancipation%201865&co=pga,loc_search,"Thomas Nast, ""Emancipation,"" engraving (King & Baird, printers), 1865. Library of Congress, Prints & Photographs Division. (Confirm exact item URL/reproduction number.)",Thomas Nast's 1865 print contrasting the horrors of slavery with a hopeful future of free African American family and civic life after emancipation.,NO,SSP.01; SSP.02,National PD Nast cartoon supporting the standard's focus on how the Civil War/emancipation impacted African Americans (a major TN population); use as a national frame for TN's freedpeople.,OK
Tennessee during Reconstruction (1865-1880),TN.33,Discuss the impeachment of President Andrew Johnson and its impact both nationally and in Tennessee.,King Andy I (Andrew Johnson as king),cartoon,Thomas Nast,1866,Harper's Weekly (via Library of Congress / HathiTrust),No known restrictions on publication; public domain by age (published 1866).,Yes,https://www.loc.gov/pictures/search/?q=Nast%20King%20Andy%20Johnson&co=pga,loc_search,"Thomas Nast, ""King Andy"" (Andrew Johnson), Harper's Weekly, 1866. Access via Library of Congress Prints & Photographs or HathiTrust digitized Harper's Weekly. (Confirm exact issue/page and item URL.)","Thomas Nast cartoon portraying President Andrew Johnson as a king (""King Andy""), satirizing his defiance of Congress during Reconstruction that led toward his impeachment.",NO,SSP.01; SSP.02,Tennessean Andrew Johnson's Reconstruction conflict/impeachment is a strong PD Nast cartoon fit; confirm the exact Harper's Weekly issue via LOC/HathiTrust before use.,OK
Tennessee during Reconstruction (1865-1880),TN.34,"Describe the rise, influence, and opposition of the Ku Klux Klan in Tennessee.",The Union As It Was / Worse than Slavery,cartoon,Thomas Nast,1874,Harper's Weekly (via Library of Congress / HathiTrust),"No known restrictions on publication; public domain by age (published October 24, 1874).",Yes,https://www.loc.gov/pictures/search/?q=Nast%20Union%20As%20It%20Was%20Worse%20than%20Slavery&co=pga,loc_search,"Thomas Nast, ""The Union As It Was / This Is a White Man's Government / Worse than Slavery,"" Harper's Weekly, October 24, 1874. Access via Library of Congress Prints & Photographs or HathiTrust digitized Harper's Weekly. (Confirm exact item URL.)","Thomas Nast's 1874 cartoon showing a hooded Ku Klux Klan member and a White League member joining hands over a shield reading 'Worse than Slavery,' above a terrorized African American family, condemning Klan and White League violence during Reconstruction.",NO,SSP.01; SSP.02,"Definitive PD cartoon on the KKK during Reconstruction; the Klan was founded in Pulaski, TN, making this a strong fit for the standard's rise/influence/opposition of the Klan.",OK
Tennessee during Reconstruction (1865-1880),TN.35,"Explain the development and efforts of the Freedmen’s Bureau schools, including Fisk University.",The Freedman's Bureau! An Agency to Keep the Negro in Idleness,cartoon,Unknown (Pennsylvania Democratic campaign broadside),1866,"Library of Congress, Prints & Photographs Division",No known restrictions on publication; public domain by age (published 1866).,Yes,https://www.loc.gov/pictures/search/?q=The%20Freedman%27s%20Bureau%20idleness%201866&co=pga,loc_search,"""The Freedman's Bureau! An Agency to Keep the Negro in Idleness at the Expense of the White Man,"" campaign broadside, 1866. Library of Congress, Prints & Photographs Division. (Confirm exact item URL.)","An 1866 racist campaign broadside attacking the Freedmen's Bureau by depicting a caricatured idle Black man, used against Radical Republicans in the 1866 Pennsylvania governor's race.",NO,SSP.01; SSP.02,PD political broadside showing white opposition to the Freedmen's Bureau; teach critically as a piece of racist propaganda that illuminates the hostility the Bureau (and schools like Fisk) faced. Not TN-specific but nationally illustrative.,OK
Tennessee in the New South (1880-1890s),TN.40,"Describe the social, economic, and political changes to Tennessee in the post-Reconstruction era, and identify the laws put in place to exclude black lawmakers by 1890.",Of Course He Wants to Vote the Democratic Ticket,cartoon,Thomas Nast,1876,Harper's Weekly (via Library of Congress / HathiTrust),"No known restrictions on publication; public domain by age (published October 21, 1876).",Yes,https://www.loc.gov/pictures/search/?q=Nast%20Of%20Course%20He%20Wants%20to%20Vote%20the%20Democratic%20Ticket&co=pga,loc_search,"Thomas Nast, ""Of Course He Wants to Vote the Democratic Ticket,"" Harper's Weekly, October 21, 1876. Access via Library of Congress Prints & Photographs or HathiTrust digitized Harper's Weekly. (Confirm exact item URL.)","Thomas Nast's 1876 cartoon showing an armed white Southerner forcing a Black man to vote the Democratic ticket at gunpoint, condemning the intimidation and disenfranchisement of Black voters.",NO,SSP.01; SSP.02,"National PD cartoon on the coercion and disenfranchisement of Black voters in the post-Reconstruction South, supporting the standard's focus on laws/tactics used to exclude Black lawmakers and voters by 1890.",OK
Tennessee: Reform and War (1900-1945),TN.45,"Summarize the influence of and reactions to the temperance movement in Tennessee, including the murder of Senator Edward Carmack.",The Drunkard's Progress: From the First Glass to the Grave,cartoon,Nathaniel Currier,1846,"Library of Congress, Prints & Photographs Division",No known restrictions on publication; public domain by age (published 1846).,Yes,https://www.loc.gov/pictures/search/?q=Drunkard%27s%20Progress%20Currier&co=pga,loc_search,"Nathaniel Currier, ""The Drunkard's Progress: From the First Glass to the Grave,"" lithograph, 1846. Library of Congress, Prints & Photographs Division. (Confirm exact item URL/reproduction number.)","An 1846 temperance cartoon showing an arch of nine steps tracing a man's decline from a first social drink through drunkenness, crime, and ruin to suicide, while his abandoned family grieves below.",NO,SSP.01; SSP.02,Iconic PD temperance-movement cartoon supporting the standard's focus on the influence of temperance in TN; national frame for the reform culture behind the Carmack-era prohibition fight.,OK
Tennessee: Reform and War (1900-1945),TN.46,"Describe Tennessee’s impact on the suffrage movement, including the following: “Perfect 36,” Harry Burn, Anne Dallas Dudley, and A.H. Roberts.",The Awakening,cartoon,Henry (Hy) Mayer,1915,"Puck (via Library of Congress, Serial & Government Publications / Prints & Photographs)","No known restrictions on publication; public domain by age (published February 20, 1915).",Yes,https://www.loc.gov/pictures/search/?q=The%20Awakening%20Hy%20Mayer%20suffrage%20Puck&co=pga,loc_search,"Henry Mayer, ""The Awakening,"" Puck, February 20, 1915. Library of Congress, Prints & Photographs Division. (Confirm exact item URL.)","A 1915 Puck cartoon showing a torch-bearing allegorical woman (Suffrage) striding east across a U.S. map where western states have already granted women the vote, as women in the darkened East reach toward the coming light.",NO,SSP.01; SSP.02,National PD suffrage cartoon supporting the standard's focus on TN and the suffrage movement; strong lead-in to Tennessee as the 'Perfect 36' that ratified the 19th Amendment in 1920.,OK
