Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
Grade 8,8.01,"Explain the founding and development of Jamestown as the first permanent English colony, its early struggles, the economic and political structure, and role of the Powhatan people.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.02,"Explain the founding and development of the Plymouth Colony, including the significance of: the Mayflower Compact, interactions with Squanto, and the role of religious freedom.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.03,"Explain the founding and development of the Massachusetts Bay Colony, including the significance of:
• Anne Hutchinson
• Role of theocracy
• Salem Witch Trials
• Town meetings",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.04,"Explain the motivation for and the founding of the Rhode Island and Connecticut Colonies, including the roles of Roger Williams and Thomas Hooker.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.05,"Analyze the economic motivation for the Dutch founding New Netherlands, the diverse population of the colony, and the transition to the English colony of New York.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.06,"Analyze the founding of Pennsylvania as a haven for Quakers and the tolerance that drew many different groups to the colony, including the significance of:
• William Penn
• Philadelphia
• Relationship with American Indians
• Role of women",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.07,"Explain the reasons behind the settlement of the Georgia Colony, including: its designation as a “debtor” colony, its function as a “buffer” colony, and the role of James Oglethorpe in its founding.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.08,"Locate and identify the Thirteen Colonies, and describe how their location and geographic features influenced regional economic development.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.09,"Compare and contrast the locations and goals of British, French, and Spanish settlements in North America.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.10,"Identify the origins and development of slavery in the colonies, overt and passive resistance to enslavement, and the Middle Passage.",Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.11,"Describe the significance of the First Great Awakening, including its role in unifying the colonies and the growth of religious tolerance.",Colonization (1607-1750),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.12,Explain the Navigation Acts and the policy of mercantilism.,Colonization (1607-1750),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.13,"Explain the significance of the Ohio River Valley leading to the French and Indian War and the events and consequences of the conflict, including: the massacre at Fort Loudoun, the Treaty of Paris of 1763, war debt, and the Proclamation Line of 1763.",The American Revolution (1700-1783),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.14,"Explain the political contributions of Benjamin Franklin to the U.S., including the ""Join or Die"" cartoon and Albany Plan of Union.",The American Revolution (1700-1783),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.15,"Analyze the social, political, and economic causes of the events and groups of the American Revolution, including:
• The Quartering Act, 1765
• The Stamp Act, 1765
• The Declaratory Act, 1766
• The Townshend Acts, 1767
• The Boston Massacre, 1770
• The Boston Tea Party, 1773
• Intolerable/Coercive Acts, 1774
• Sons of Liberty",The American Revolution (1700-1783),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.16,Explain the historical purposes and consequences of Thomas Paine's Common Sense.,The American Revolution (1700-1783),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.17,"Locate and explain the significance of the battles of the American Revolution prior to the signing of the Declaration of Independence, including Lexington and Concord and Bunker (Breed’s) Hill.",The American Revolution (1700-1783),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.18,Explain the historical and present-day significance of the Declaration of Independence. (T.C.A. § 49-6-1028),The American Revolution (1700-1783),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.19,Compare and contrast the points of view of Loyalists and Patriots.,The American Revolution (1700-1783),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.20,"Locate and explain the significance of the following during the American Revolution:
• Struggles of the Continental Army
• Battles of Trenton and Princeton
• Battle of Kings Mountain
• Battle of Saratoga
• Battle of Yorktown
• Guerrilla warfare",The American Revolution (1700-1783),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.21,"Analyze the strengths and weaknesses of the Articles of Confederation, and describe the Land Ordinance of 1785, the Northwest Ordinance of 1787, the Northwest Territory, the Lost State of Franklin, and Shays’ Rebellion.",The New Nation (1775-1800),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.22,"Describe the roles of James Madison and George Washington during the Constitutional Convention, and analyze the major issues debated, including the Great Compromise and the Three-Fifths Compromise. (T.C.A. § 49-6-1028)",The New Nation (1775-1800),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.23,"Examine the principles and purposes of government articulated in the Preamble and principles stated in the Constitution, including: the separation of powers, federalism, and checks and balances. (T.C.A. § 49-6-1028)",The New Nation (1775-1800),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.24,"Describe the conflict between Federalists and Anti-Federalists over the ratification of the Constitution, including the protection of individual rights through the Bill of Rights and concern for states’ rights. (T.C.A. § 49-6-1028)",The New Nation (1775-1800),,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 8,8.25,"Analyze the major events of the administration of President George Washington, including: the precedents he set, Whiskey Rebellion, and ideas presented in his farewell address.",The New Nation (1775-1800),Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
