Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Age of Revolution (1750-1850),W.04,Examine the causes and consequences of the English Civil War.,Yes,"England and Wales during the Civil War, 1642–1651",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=England%20Wales%20Civil%20War%20Shepherd%20historical%20atlas,search,"England and Wales during the Civil War, 1642–1651. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map of England and Wales shading Royalist and Parliamentary regions during the English Civil War.,NO,SSP.06; SSP.01,Shows the geographic split between Royalist west/north and Parliamentarian southeast that shaped the war.,OK — attribute (CC BY)
Age of Revolution (1750-1850),W.05,"Identify the major causes of the French Revolution, including the impact of: The American Revolution; Conflicting social classes; Economic factors; Enlightenment political thought; Government corruption and weakness",Yes,France in 1789 (Provinces on the Eve of Revolution),map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=France%201789%20provinces%20Shepherd%20historical%20atlas,search,"France in 1789 (Provinces on the Eve of Revolution). William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map of the old provinces and administrative divisions of France just before the Revolution.,NO,SSP.06; SSP.01,The patchwork of pre-1789 provinces and internal customs barriers illustrates the inequities that fed revolution.,OK — attribute (CC BY)
Age of Revolution (1750-1850),W.06,"Summarize the major events of the French Revolution (e.g., storming of the Bastille, execution of Louis XVI, reign of terror), and trace the evolution of France's government from constitutional monarchy to democratic despotism to the Napoleonic Empire.",Yes,"France: The Departments, 1791",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=France%20departments%201791%20Shepherd%20historical%20atlas,search,"France: The Departments, 1791. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map of revolutionary France reorganized into uniform departments in 1791.,NO,SSP.06; SSP.01,"The 1791 departments replaced the old provinces, showing the Revolution's rationalizing reform of government.",OK — attribute (CC BY)
Age of Revolution (1750-1850),W.07,"Analyze the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte's empire.",Yes,Europe in 1810 (The Napoleonic Empire at its Height),map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Europe%201810%20Napoleon%20empire%20Shepherd%20historical%20atlas,search,"Europe in 1810 (The Napoleonic Empire at its Height). William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).","Map of Europe in 1810 showing the French Empire, satellite kingdoms, and allied states under Napoleon.",NO,SSP.06; SSP.01,Napoleon's empire at its 1810 peak — the geographic overreach that preceded his fall.,OK — attribute (CC BY)
Age of Revolution (1750-1850),W.07,"Analyze the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte's empire.",Yes,Napoleon's Russian Campaign of 1812 (Figurative Map of Army Losses),map,Charles Joseph Minard,1869,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Minard%20Napoleon%20Russian%20campaign%201812%20figurative,search,"Napoleon's Russian Campaign of 1812 (Figurative Map of Army Losses). Charles Joseph Minard, 1869. David Rumsey Map Collection (CC BY).",Flow-band map tracing the advance and catastrophic retreat of Napoleon's army to and from Moscow in 1812.,NO,SSP.06; SSP.01,"Minard's classic 1869 map ties geography, distance, cold, and attrition to the destruction of the Grande Armée.",OK — attribute (CC BY)
Age of Revolution (1750-1850),W.08,"Identify how the ideas of the Enlightenment inspired Thomas Jefferson and the Declaration of Independence, and compare the American Revolution with the French Revolution.",Yes,Europe in 1789,map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Europe%201789%20Shepherd%20historical%20atlas,search,"Europe in 1789. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Political map of Europe in 1789 on the eve of the French Revolution.,NO,SSP.06; SSP.01,Baseline map for comparing the American and French revolutions and the pre-revolutionary order of Europe.,OK — attribute (CC BY)
Age of Revolution (1750-1850),W.09,"Explain the effects of the French Revolution on Europe and the world, including the influence of: the Napoleonic Code, Concert of Europe, and Haitian Revolution.",Yes,"Europe after the Congress of Vienna, 1815",map,William R. Shepherd,1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Europe%201815%20Congress%20of%20Vienna%20Shepherd%20historical%20atlas,search,"Europe after the Congress of Vienna, 1815. William R. Shepherd, Historical Atlas, 1911. David Rumsey Map Collection (CC BY).",Map of the European political order established by the Congress of Vienna in 1815.,NO,SSP.06; SSP.01,The Concert of Europe settlement of 1815 that reordered the continent after Napoleon.,OK — attribute (CC BY)
Age of Revolution (1750-1850),W.09,"Explain the effects of the French Revolution on Europe and the world, including the influence of: the Napoleonic Code, Concert of Europe, and Haitian Revolution.",Yes,Hispaniola / Saint-Domingue (Haiti),map,18th–19th century cartographer,c. 1800,"Library of Congress, Geography & Map Division",Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=Saint%20Domingue%20Hispaniola%20Haiti%20map,search,"Hispaniola / Saint-Domingue (Haiti). 18th–19th century cartographer, c. 1800. Library of Congress, Geography & Map Division.","Map of the island of Hispaniola showing the French colony of Saint-Domingue, later Haiti.",NO,SSP.06; SSP.01,"Situates the Haitian Revolution, the only successful slave revolt to found a state.",OK
The Industrial Revolution (1750s-1900s),W.10,"Explain how the Agricultural Revolution, mechanization, and the ""enclosure movement"" led to rapid population growth, rural to urban migration, and the growth of major cities in Europe and North America.",Yes,Population and Growth of Cities in Industrializing Europe,map,19th-century thematic cartographer,c. 1880,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=Europe%20population%20density%20cities%2019th%20century,search,"Population and Growth of Cities in Industrializing Europe. 19th-century thematic cartographer, c. 1880. David Rumsey Map Collection (CC BY).",Thematic map showing population density and the growth of industrial cities across Europe.,NO,SSP.06; SSP.01,Illustrates the rural-to-urban migration and city growth driven by the Agricultural and Industrial Revolutions.,OK — attribute (CC BY)
The Industrial Revolution (1750s-1900s),W.11,"Explain the geographic and economic reasons why the Industrial Revolution began in England, including: natural resources, entrepreneurship, labor, and access to capital.",Yes,"Industrial England: Coal, Iron, and Manufacturing Districts",map,19th-century commercial cartographer,c. 1850,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=England%20coal%20iron%20industrial%20districts%20map,search,"Industrial England: Coal, Iron, and Manufacturing Districts. 19th-century commercial cartographer, c. 1850. David Rumsey Map Collection (CC BY).","Map of England highlighting coalfields, ironworks, and manufacturing regions.",NO,SSP.06; SSP.01,"Coal, iron, ports, and capital — the geographic reasons the Industrial Revolution began in England.",OK — attribute (CC BY)
