Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
"Foundations of Human Civilization: c. 10,000-3500 BCE",6.03,"Explain the impact of the Agricultural Revolution, including: Barter economy; Domestication of plants and animals; Emergence of permanent settlements; Food surpluses; Labor specialization; New sources of clothing and shelter",Yes,Reference Map of the Ancient Orient (Fertile Crescent),map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Physical-political map of the ancient Near East showing the Fertile Crescent arc from the Persian Gulf up the Tigris-Euphrates and across to the Mediterranean and Nile.,NO,SSP.06; SSP.01,Shows the Tigris-Euphrates and Nile valleys where the Agricultural Revolution took hold; use to locate the earliest zones of plant/animal domestication and permanent settlement.,OK
"Foundations of Human Civilization: c. 10,000-3500 BCE",6.03,"Explain the impact of the Agricultural Revolution, including: Barter economy; Domestication of plants and animals; Emergence of permanent settlements; Food surpluses; Labor specialization; New sources of clothing and shelter",Yes,The Ancient World / Cradles of Civilization,map,David Rumsey Map Collection (historical map),1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=ancient+world+agriculture+cradle+civilization,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. The Ancient World / Cradles of Civilization.",Old atlas plate of the ancient world highlighting early river-valley civilizations.,NO,SSP.06; SSP.01,General map of early civilization cradles; supports discussion of where surplus agriculture first emerged.,OK — attribute (CC BY)
"Foundations of Human Civilization: c. 10,000-3500 BCE",6.04,Identify and explain the importance of the following key characteristics of civilizations: Culture; Government; Religion; Social structure; Stable food supply; Technology; Writing,Yes,The Ancient World — Early Civilizations Overview,map,Perry-Castañeda Library Map Collection (historical atlas facsimiles),1911,Perry-Castañeda Historical Map Collection,Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_ancient.html,canonical,"Perry-Castañeda Library Map Collection, University of Texas at Austin (public-domain historical map). The Ancient World — Early Civilizations Overview.","Overview map of the ancient world showing Mesopotamia, Egypt, India, and China river-valley civilizations.",NO,SSP.06; SSP.01,"Whole-ancient-world reference map to introduce the river-valley civilizations that share the seven characteristics (government, writing, cities, etc.).",OK
"Foundations of Human Civilization: c. 10,000-3500 BCE",6.04,Identify and explain the importance of the following key characteristics of civilizations: Culture; Government; Religion; Social structure; Stable food supply; Technology; Writing,Yes,Map of the Ancient World,map,David Rumsey Map Collection (historical map),1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=ancient+world+early+civilizations,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. Map of the Ancient World.",Historical world map centered on the ancient Eastern Hemisphere civilizations.,NO,SSP.06; SSP.01,Broad orientation map for comparing the first civilizations by location.,OK — attribute (CC BY)
Ancient Mesopotamia: c. 3500-1700 BCE,6.05,"Identify and locate geographical features of ancient Mesopotamia, including: Black Sea; Persian Gulf; Euphrates River; Tigris River; Mediterranean Sea; Zagros Mountains",Yes,"The Oriental Empires (Mesopotamia: Tigris, Euphrates, Zagros, Persian Gulf)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of ancient Mesopotamia labeling the Tigris and Euphrates rivers, Persian Gulf, Zagros Mountains, and surrounding seas.",NO,SSP.06; SSP.01,"Locates the required features: Tigris and Euphrates Rivers, Persian Gulf, Zagros Mountains, Mediterranean and Black Seas.",OK
Ancient Mesopotamia: c. 3500-1700 BCE,6.05,"Identify and locate geographical features of ancient Mesopotamia, including: Black Sea; Persian Gulf; Euphrates River; Tigris River; Mediterranean Sea; Zagros Mountains",Yes,Map of Ancient Mesopotamia and the Near East,map,"Library of Congress, Geography & Map Division",1910,Library of Congress Geography & Map Division,Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=ancient+mesopotamia+tigris+euphrates,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain. Map of Ancient Mesopotamia and the Near East.",Labeled physical map of Mesopotamia showing its two rivers and bordering mountains and gulf.,NO,SSP.06; SSP.01,Alternate labeled physical map for a features-location exercise.,OK
Ancient Mesopotamia: c. 3500-1700 BCE,6.06,Explain how geographic and climatic features led to the region being known as the Fertile Crescent.,Yes,The Fertile Crescent — Physical Map of the Ancient Near East,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Physical map of the Near East emphasizing the arc of fertile river-watered land between desert and mountains.,NO,SSP.06; SSP.01,Physical relief and rivers show why the crescent of land from the Persian Gulf to the Levant was fertile; connects climate/irrigation to settlement.,OK
Ancient Mesopotamia: c. 3500-1700 BCE,6.08,"Analyze how advancements in agriculture in Sumer led to economic growth, expansion of trade and transportation, and the emergence of independent city-states.",Yes,Babylonia and the Sumerian City-States,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of southern Mesopotamia marking Sumerian city-states along the rivers near the Persian Gulf.,NO,SSP.06; SSP.01,"Locates the independent Sumerian city-states (Ur, Uruk, Lagash) along the lower Tigris-Euphrates; supports the link between irrigated agriculture, trade, and city-states.",OK
Ancient Mesopotamia: c. 3500-1700 BCE,6.09,"Explain the basic concepts of monarchy and empire, and identify Mesopotamia as the regional location of the world's first empire.",Yes,The Oriental Empires about 600 B.C. (and the Empire of Sargon of Akkad),map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map showing the extent of the early Mesopotamian empires spanning multiple former city-states.,NO,SSP.06; SSP.01,"Illustrates the concept of empire and Mesopotamia as home to the world's first empire (Akkad), showing territory unified under one ruler.",OK
Ancient Egypt: c. 3000-700 BCE,6.13,"Identify and locate geographical features of ancient Egypt, including: Mediterranean Sea; Red Sea; Nile Delta; The regions of Upper and Lower Egypt; Nile River; The Sahara",Yes,"Ancient Egypt (Nile, Delta, Upper and Lower Egypt)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of ancient Egypt showing the Nile flowing north to its delta, the divisions of Upper and Lower Egypt, and the Red and Mediterranean seas.",NO,SSP.06; SSP.01,"Locates required features: Nile River, Nile Delta, Upper and Lower Egypt, Red Sea, Mediterranean Sea, and the surrounding Sahara.",OK
